,academic_session,available_to_erasmus_students,available_to_visiting_students,code,credits,level,remark,school,taught_wholly_by_distance_learning,title,typically_offered
24,2017-18,Yes,Yes,ACCFIN4012,20,Level 4 (SCQF level 10),,Adam Smith Business School,,Financial Markets & Financial Institutions,Semester 2
25,2017-18,Yes,Yes,ACCFIN4013,20,Level 4 (SCQF level 10),,Adam Smith Business School,,Financial Statement Analysis and Valuation,Semester 2
26,2017-18,Yes,Yes,ACCFIN4014,20,Level 4 (SCQF level 10),,Adam Smith Business School,,International Financial Accounting,Semester 2
27,2017-18,Yes,Yes,ACCFIN4015,20,Level 4 (SCQF level 10),,Adam Smith Business School,,International Financial Management,Semester 1
28,2017-18,Yes,Yes,ACCFIN4017,20,Level 4 (SCQF level 10),,Adam Smith Business School,,Issues in Social and Environmental Accounting,Semester 2
29,2017-18,Yes,Yes,ACCFIN4072,20,Level 4 (SCQF level 10),,Adam Smith Business School,,Judgement and Decision-Making in Accounting and Auditing,Semester 2
30,2017-18,Yes,Yes,ACCFIN4016,20,Level 4 (SCQF level 10),,Adam Smith Business School,,Management Accounting in Organisations and Society,Semester 1
31,2017-18,Yes,Yes,ACCFIN4004,20,Level 4 (SCQF level 10),,Adam Smith Business School,,Management Control Systems,Semester 1
32,2017-18,Yes,Yes,ACCFIN4064,20,Level 4 (SCQF level 10),,Adam Smith Business School,,Mergers and Acquisitions,Semester 2
33,2017-18,Yes,Yes,ACCFIN4063,20,Level 4 (SCQF level 10),,Adam Smith Business School,,Psychology and Financial Markets,Semester 2
34,2017-18,Yes,Yes,ACCFIN4053,20,Level 4 (SCQF level 10),,Adam Smith Business School,,Public Sector Accounting,Semester 2
35,2017-18,Yes,Yes,ACCFIN4051,20,Level 4 (SCQF level 10),,Adam Smith Business School,,Strategic Management Accounting,Semester 2
36,2017-18,Yes,Yes,ACCFIN4044,20,Level 4 (SCQF level 10),,Adam Smith Business School,,Tax Theory and Practice,Semester 2
37,2017-18,,No,ACCFIN5001,20,Level 5 (SCQF level 11),,Adam Smith Business School,,Accounting & Business Ethics,Semester 2
38,2017-18,No,No,ACCFIN5002,20,Level 5 (SCQF level 11),,Adam Smith Business School,,Advanced International Corporate Reporting,Semester 2
39,2017-18,,Yes,ACCFIN5055,20,Level 5 (SCQF level 11),,Adam Smith Business School,,"Audit, Risk and Control",Semester 2
40,2017-18,No,No,ACCFIN5043,20,Level 5 (SCQF level 11),,Adam Smith Business School,,Behavioural Finance,Semester 2
41,2017-18,No,No,ACCFIN5206,20,Level 5 (SCQF level 11),,Adam Smith Business School,,Climate Change Policies and Accountability Issues,Semester 2
42,2017-18,No,No,ACCFIN5205,20,Level 5 (SCQF level 11),,Adam Smith Business School,,Corporate Finance,Semester 1
43,2017-18,No,No,ACCFIN5008P,60,Level 5 (SCQF level 11),,Adam Smith Business School,,Dissertation and Research Methods,Summer
44,2017-18,,No,ACCFIN5200,20,Level 5 (SCQF level 11),,Adam Smith Business School,,Financial Analysis and Equity Valuation,Semester 2
45,2017-18,No,No,ACCFIN5057,20,Level 5 (SCQF level 11),,Adam Smith Business School,,Financial Management in Banking,Semester 2
46,2017-18,,No,ACCFIN5012,20,Level 5 (SCQF level 11),,Adam Smith Business School,,Financial Regulation and Ethics,Semester 2
47,2017-18,,No,ACCFIN5013,20,Level 5 (SCQF level 11),,Adam Smith Business School,,Financial Reporting and Interpretation,Semester 2
48,2017-18,No,No,ACCFIN5207,20,Level 5 (SCQF level 11),,Adam Smith Business School,,Financial Risk Management,Semester 2
49,2017-18,No,No,ACCFIN5203,20,Level 5 (SCQF level 11),,Adam Smith Business School,,Foundations of International Corporate Finance,Semester 1
50,2017-18,No,No,ACCFIN5061,20,Level 5 (SCQF level 11),,Adam Smith Business School,,Global Issues in Management Accounting,Semester 2
51,2017-18,,No,ACCFIN5059,20,Level 5 (SCQF level 11),,Adam Smith Business School,,Governing Risk and Uncertainty,Semester 2
52,2017-18,,No,ACCFIN5060,20,Level 5 (SCQF level 11),,Adam Smith Business School,,Human Rights and Business,Semester 2
53,2017-18,,No,ACCFIN5014,20,Level 5 (SCQF level 11),,Adam Smith Business School,,International Banking and Financial Markets,Semester 2
54,2017-18,,No,ACCFIN5017,20,Level 5 (SCQF level 11),,Adam Smith Business School,,International Capital Markets,Semester 1
55,2017-18,No,No,ACCFIN5204,20,Level 5 (SCQF level 11),,Adam Smith Business School,,International Corporate Finance,Semester 1
56,2017-18,,No,ACCFIN5045,20,Level 5 (SCQF level 11),,Adam Smith Business School,,International Corporate Governance & Accountability,Semester 2
57,2017-18,No,No,ACCFIN5024,20,Level 5 (SCQF level 11),,Adam Smith Business School,,International Financial Accounting for Multi-National Companies,Semester 1
58,2017-18,,No,ACCFIN5030,20,Level 5 (SCQF level 11),,Adam Smith Business School,,International Financial Management,Semester 2
59,2017-18,,No,ACCFIN5031,10,Level 5 (SCQF level 11),,Adam Smith Business School,,International Financial Management and Corporate Finance,Semester 2
60,2017-18,No,No,ACCFIN5034,20,Level 5 (SCQF level 11),,Adam Smith Business School,,Issues in Accounting Research,Semester 2
61,2017-18,,No,ACCFIN5058,20,Level 5 (SCQF level 11),,Adam Smith Business School,,Mergers and Acquisitions,Semester 2
62,2017-18,No,No,ACCFIN5036,20,Level 5 (SCQF level 11),,Adam Smith Business School,,Management Accounting and Control,Semester 1
63,2017-18,No,No,ACCFIN5214,20,Level 5 (SCQF level 11),,Adam Smith Business School,,Public Sector Financial Management,Semester 2
64,2017-18,No,No,ACCFIN5209,20,Level 5 (SCQF level 11),,Adam Smith Business School,,Responsible Banking and Development Finance,Semester 2
65,2017-18,No,No,ACCFIN5202,20,Level 5 (SCQF level 11),,Adam Smith Business School,,Risk Management and Derivative Securities,Semester 2
66,2017-18,No,No,ACCFIN5056,20,Level 5 (SCQF level 11),,Adam Smith Business School,,Social and Environmental Accounting,Semester 2
67,2017-18,No,No,ACCFIN5039,20,Level 5 (SCQF level 11),,Adam Smith Business School,,Statistics for Business Research,Semester 1
68,2017-18,No,No,ADED11474,0,Level 1 (SCQF level 7),,Centre for Open Studies,,18th century Scotland,Semester 1
69,2017-18,Yes,Yes,ADED11466E,10,Level 1 (SCQF level 7),,Centre for Open Studies,,20th century Scottish art,Semester 1
70,2017-18,No,No,ADED11226,0,Level 1 (SCQF level 7),,Centre for Open Studies,,20th century Scottish art,Semester 1
71,2017-18,No,No,ADED11475,0,Level 1 (SCQF level 7),,Centre for Open Studies,,A European answer,Semester 1
72,2017-18,No,No,ADED11270,0,Level 1 (SCQF level 7),,Centre for Open Studies,,A History of Greece,Semester 1
73,2017-18,No,No,ADED11440,0,Level 1 (SCQF level 7),,Centre for Open Studies,,"A great reckoning: John Keats, poetry and letters",Semester 2
74,2017-18,No,No,ADED11427,0,Level 1 (SCQF level 7),,Centre for Open Studies,,A history of Italy,Semester 1
75,2017-18,No,No,ADED11476,0,Level 1 (SCQF level 7),,Centre for Open Studies,,A history of Spain,Semester 1
76,2017-18,No,No,ADED11429,0,Level 1 (SCQF level 7),,Centre for Open Studies,,A history of terrorism: from antiquity to ISIS,Summer
77,2017-18,No,Yes,ADED11455E,10,Level 1 (SCQF level 7),,Centre for Open Studies,,A history of the western seaboard of Scotland,Semester 2
78,2017-18,No,Yes,ADED1005E,10,Level 1 (SCQF level 7),,Centre for Open Studies,,ANCIENT EGYPTIAN TEMPLES,Summer
79,2017-18,Yes,Yes,ADED1008E,10,Level 1 (SCQF level 7),,Centre for Open Studies,,ARABIC STAGE 1,Runs Throughout Semesters 1 and 2
80,2017-18,Yes,Yes,ADED1009E,10,Level 1 (SCQF level 7),,Centre for Open Studies,,ARABIC STAGE 2,Runs Throughout Semesters 1 and 2
81,2017-18,No,Yes,ADED1184E,20,Level 1 (SCQF level 7),,Centre for Open Studies,,ART OF THE ITALIAN RENAISSANCE,Runs Throughout Semesters 1 and 2
82,2017-18,No,Yes,ADED11453E,10,Level 1 (SCQF level 7),,Centre for Open Studies,,Abolishing New World slavery,Semester 2
83,2017-18,No,No,ADED11407E,20,Level 1 (SCQF level 7),,Centre for Open Studies,,Access to Arts & Social Sciences: Classical Studies,Runs Throughout Semesters 1 and 2
84,2017-18,No,No,ADED11409E,20,Level 1 (SCQF level 7),,Centre for Open Studies,,Access to Arts & Social Sciences: English Literature,Runs Throughout Semesters 1 and 2
85,2017-18,No,No,ADED11410E,20,Level 1 (SCQF level 7),,Centre for Open Studies,,Access to Arts & Social Sciences: History of Art,Runs Throughout Semesters 1 and 2
86,2017-18,No,No,ADED11413E,20,Level 1 (SCQF level 7),,Centre for Open Studies,,Access to Arts & Social Sciences: Medieval History,Runs Throughout Semesters 1 and 2
87,2017-18,No,No,ADED11418E,20,Level 1 (SCQF level 7),,Centre for Open Studies,,Access to Arts & Social Sciences: Scottish History,Runs Throughout Semesters 1 and 2
88,2017-18,No,No,ADED11421E,20,Level 1 (SCQF level 7),,Centre for Open Studies,,Access to Arts & Social Sciences: Theology & Religious Studies,Runs Throughout Semesters 1 and 2
89,2017-18,No,No,ADED11408E,20,Level 1 (SCQF level 7),,Centre for Open Studies,,Access to Arts and Social Sciences: Economics,Runs Throughout Semesters 1 and 2
90,2017-18,No,No,ADED11416E,20,Level 1 (SCQF level 7),,Centre for Open Studies,,Access to Arts and Social Sciences: Politics,Runs Throughout Semesters 1 and 2
91,2017-18,No,No,ADED11417E,20,Level 1 (SCQF level 7),,Centre for Open Studies,,Access to Arts and Social Sciences: Psychology,Runs Throughout Semesters 1 and 2
92,2017-18,No,No,ADED11419E,20,Level 1 (SCQF level 7),,Centre for Open Studies,,Access to Arts and Social Sciences: Social and Economic History,Runs Throughout Semesters 1 and 2
93,2017-18,No,No,ADED11420E,20,Level 1 (SCQF level 7),,Centre for Open Studies,,Access to Arts and Social Sciences: Sociology,Runs Throughout Semesters 1 and 2
94,2017-18,No,No,ADED11406E,20,Level 1 (SCQF level 7),,Centre for Open Studies,,"Access to Science, Engineering and Nursing: Chemistry",Runs Throughout Semesters 1 and 2
95,2017-18,No,No,ADED11412E,20,Level 1 (SCQF level 7),,Centre for Open Studies,,"Access to Science, Engineering and Nursing: Mathematics",Runs Throughout Semesters 1 and 2
96,2017-18,No,No,ADED11415E,20,Level 1 (SCQF level 7),,Centre for Open Studies,,"Access to Science, Engineering and Nursing: Physics",Runs Throughout Semesters 1 and 2
97,2017-18,No,No,ADED11405E,20,Level 1 (SCQF level 7),,Centre for Open Studies,,"Access to Science, Engineering and Nursing:Biology",Runs Throughout Semesters 1 and 2
98,2017-18,No,No,ADED11411E,20,Level 1 (SCQF level 7),,Centre for Open Studies,,Access: Law,Runs Throughout Semesters 1 and 2
99,2017-18,No,No,ADED11414E,20,Level 1 (SCQF level 7),,Centre for Open Studies,,Access: Philosophy,Runs Throughout Semesters 1 and 2
100,2017-18,No,No,ADED11253,0,Level 1 (SCQF level 7),,Centre for Open Studies,Yes,Aesthetics and the Philosophy of Art,Semester 2
101,2017-18,No,No,ADED11456,0,Level 1 (SCQF level 7),,Centre for Open Studies,,American conservatism since 1945: five major figures,Semester 1
102,2017-18,No,Yes,ADED11425E,10,Level 1 (SCQF level 7),,Centre for Open Studies,,American politics in the 21st Century,Semester 2
103,2017-18,No,No,ADED11510,0,Level 1 (SCQF level 7),,Centre for Open Studies,,An approach to poetry,Semester 2
104,2017-18,Yes,Yes,ADED11467E,10,Level 1 (SCQF level 7),,Centre for Open Studies,,An introduction to art history: from antiquity to late medieval art,Semester 1
105,2017-18,No,No,ADED11404,0,Level 1 (SCQF level 7),,Centre for Open Studies,,An introduction to portrait drawing in a week,Summer
106,2017-18,Yes,Yes,ADED11520E,10,Level 1 (SCQF level 7),,Centre for Open Studies,,Ancient Egypt and the Bible,Summer
107,2017-18,Yes,Yes,ADED1169E,10,Level 1 (SCQF level 7),,Centre for Open Studies,,Ancient Egyptian archaeology - people and places 1A,Semester 1
108,2017-18,Yes,Yes,ADED1170E,10,Level 1 (SCQF level 7),,Centre for Open Studies,,Ancient Egyptian archaeology - people and places 1B,Semester 2
109,2017-18,Yes,Yes,ADED1004E,10,Level 1 (SCQF level 7),,Centre for Open Studies,,Ancient Egyptian art,Summer
110,2017-18,No,Yes,ADED1006E,10,Level 1 (SCQF level 7),,Centre for Open Studies,,Ancient Egyptian texts 1A,Semester 1
111,2017-18,No,Yes,ADED1007E,10,Level 1 (SCQF level 7),,Centre for Open Studies,,Ancient Egyptian texts 1B,Semester 2
112,2017-18,No,Yes,ADED11389E,20,Level 1 (SCQF level 7),,Centre for Open Studies,,Ancient Greek for beginners,Runs Throughout Semesters 1 and 2
113,2017-18,Yes,Yes,ADED11516E,20,Level 1 (SCQF level 7),,Centre for Open Studies,,Archaeology of Medieval and Post Medieval Scotland,Semester 2
114,2017-18,Yes,Yes,ADED11515E,20,Level 1 (SCQF level 7),,Centre for Open Studies,,Archaeology of Prehistoric and Roman Scotland,Semester 2
115,2017-18,No,No,ADED11385E,10,Level 1 (SCQF level 7),,Centre for Open Studies,,Art making and art psychotherapy,Summer
116,2017-18,No,No,ADED11227,0,Level 1 (SCQF level 7),,Centre for Open Studies,,Beginners plus: drawing and painting 1,Semester 1
117,2017-18,No,No,ADED11228,0,Level 1 (SCQF level 7),,Centre for Open Studies,,Beginners plus: drawing and painting 2,Semester 2
118,2017-18,No,No,ADED11254,0,Level 1 (SCQF level 7),,Centre for Open Studies,,Beyond Belief,Semester 2
119,2017-18,No,No,ADED11217,0,Level 1 (SCQF level 7),,Centre for Open Studies,,Botanical painting and illustration,Repeated in Semesters 1 and 2
120,2017-18,No,No,ADED11465,0,Level 1 (SCQF level 7),,Centre for Open Studies,,Buddhism 1,Semester 2
121,2017-18,No,No,ADED11255,0,Level 1 (SCQF level 7),,Centre for Open Studies,Yes,Business Ethics,Semester 2
122,2017-18,Yes,Yes,ADED1014E,10,Level 1 (SCQF level 7),MANDARIN,Centre for Open Studies,,CHINESE,Runs Throughout Semesters 1 and 2
123,2017-18,Yes,Yes,ADED1015E,10,Level 1 (SCQF level 7),MANDARIN,Centre for Open Studies,,CHINESE,Runs Throughout Semesters 1 and 2
124,2017-18,No,No,ADED1016E,10,Level 1 (SCQF level 7),MANDARIN,Centre for Open Studies,,CHINESE,Runs Throughout Semesters 1 and 2
125,2017-18,Yes,Yes,ADED1021E,40,Level 1 (SCQF level 7),,Centre for Open Studies,,CREATIVE WRITING: FICTION,Runs Throughout Semesters 1 and 2
126,2017-18,Yes,Yes,ADED1023E,20,Level 1 (SCQF level 7),,Centre for Open Studies,,CREATIVE WRITING: THE NOVEL,Runs Throughout Semesters 1 and 2
127,2017-18,No,Yes,ADED1024E,20,Level 1 (SCQF level 7),,Centre for Open Studies,,CREATIVE WRITING: THE SHORT STORY,Runs Throughout Semesters 1 and 2
128,2017-18,No,Yes,ADED11448E,10,Level 1 (SCQF level 7),,Centre for Open Studies,,Child Development - An Introduction,Semester 1
129,2017-18,No,No,ADED11508,0,Level 1 (SCQF level 7),,Centre for Open Studies,,Classic poems: an introduction to poetry in English,Semester 1
130,2017-18,No,Yes,ADED1217E,20,Level 1 (SCQF level 7),,Centre for Open Studies,,Classical Greek Civilisation 1A,Runs Throughout Semesters 1 and 2
131,2017-18,No,Yes,ADED1017E,20,Level 1 (SCQF level 7),,Centre for Open Studies,,Classical Greek civilisation 1B,Runs Throughout Semesters 1 and 2
132,2017-18,Yes,Yes,ADED11521E,10,Level 1 (SCQF level 7),,Centre for Open Studies,,Classical Roman civilization 1A,Semester 2
133,2017-18,Yes,Yes,ADED11390E,20,Level 1 (SCQF level 7),,Centre for Open Studies,,Constable to Cézanne: Painting in Britain and France 1800-1900,Runs Throughout Semesters 1 and 2
134,2017-18,Yes,Yes,ADED11369E,20,Level 1 (SCQF level 7),,Centre for Open Studies,,Contemporary Irish Literature 1,Full Year
135,2017-18,No,No,ADED11256,0,Level 1 (SCQF level 7),,Centre for Open Studies,,Contemporary Political Philosophy,Semester 1
136,2017-18,No,Yes,ADED11208E,20,Level 1 (SCQF level 7),,Centre for Open Studies,,Continuing Latin,Runs Throughout Semesters 1 and 2
137,2017-18,No,Yes,ADED1837E,20,Level 1 (SCQF level 7),,Centre for Open Studies,,Coptic: the language and lives of Early Christians in Egypt,Runs Throughout Semesters 1 and 2
138,2017-18,No,No,ADED11376,0,Level 1 (SCQF level 7),,Centre for Open Studies,,Counselling Listening Skills: An Introduction,Semester 1
139,2017-18,No,No,ADED11377,0,Level 1 (SCQF level 7),,Centre for Open Studies,,Counselling Skills,Summer
140,2017-18,No,No,ADED1020E,40,Level 1 (SCQF level 7),,Centre for Open Studies,,Counselling Skills Course,Runs Throughout Semesters 1 and 2
141,2017-18,No,No,ADED11513,0,Level 1 (SCQF level 7),,Centre for Open Studies,,Counterculture in Britain 1965-1978,Semester 2
142,2017-18,No,No,ADED11347,0,Level 1 (SCQF level 7),,Centre for Open Studies,,Creative Writing: Short Stories,Summer
143,2017-18,No,No,ADED11218,0,Level 1 (SCQF level 7),,Centre for Open Studies,,Creative drawing and painting 1,Semester 1
144,2017-18,No,No,ADED11219,0,Level 1 (SCQF level 7),,Centre for Open Studies,,Creative drawing and painting 2,Semester 2
145,2017-18,No,No,ADED11220,0,Level 1 (SCQF level 7),,Centre for Open Studies,,Creative drawing and painting 3,Summer
146,2017-18,Yes,Yes,ADED11386E,10,Level 1 (SCQF level 7),,Centre for Open Studies,,Creative drawing and painting: developing skills and techniques,Repeated in Semesters 1 and 2
147,2017-18,No,No,ADED11452,0,Level 1 (SCQF level 7),,Centre for Open Studies,,Creative writing: perspectives,Semester 2
148,2017-18,Yes,Yes,ADED1025E,10,Level 1 (SCQF level 7),,Centre for Open Studies,,DANISH STAGE 1,Runs Throughout Semesters 1 and 2
149,2017-18,Yes,Yes,ADED1240E,10,Level 1 (SCQF level 7),,Centre for Open Studies,,DANISH STAGE 2,Runs Throughout Semesters 1 and 2
150,2017-18,Yes,Yes,ADED1026E,10,Level 1 (SCQF level 7),,Centre for Open Studies,,DUTCH 17TH CENTURY PAINTING,Semester 2
151,2017-18,Yes,Yes,ADED1027E,10,Level 1 (SCQF level 7),,Centre for Open Studies,,DUTCH STAGE 1,Runs Throughout Semesters 1 and 2
152,2017-18,Yes,Yes,ADED1028E,10,Level 1 (SCQF level 7),,Centre for Open Studies,,DUTCH STAGE 2,Runs Throughout Semesters 1 and 2
153,2017-18,No,Yes,ADED1029E,10,Level 1 (SCQF level 7),,Centre for Open Studies,,DUTCH STAGE 3,Runs Throughout Semesters 1 and 2
154,2017-18,No,No,ADED11333,0,Level 1 (SCQF level 7),,Centre for Open Studies,,Developing Children's Thinking,Semester 2
155,2017-18,No,No,ADED11482,0,Level 1 (SCQF level 7),,Centre for Open Studies,,Discover the cemeteries and crematoria of Glasgow,Semester 2
156,2017-18,No,No,ADED11457,0,Level 1 (SCQF level 7),,Centre for Open Studies,,Dr Martin Luther King Jr and the civil rights movement,Semester 2
157,2017-18,No,No,ADED11230,0,Level 1 (SCQF level 7),,Centre for Open Studies,,Drawing and Painting 1,Semester 1
158,2017-18,No,No,ADED11231,0,Level 1 (SCQF level 7),,Centre for Open Studies,,Drawing and Painting 2,Semester 2
159,2017-18,No,No,ADED11232,0,Level 1 (SCQF level 7),,Centre for Open Studies,,Drawing and Painting 3,Summer
160,2017-18,No,No,ADED11229,0,Level 1 (SCQF level 7),,Centre for Open Studies,,Drawing and painting for beginners,Summer
161,2017-18,Yes,Yes,ADED1266E,20,Level 1 (SCQF level 7),,Centre for Open Studies,,"EVOLUTION OF THE EARTH, LIFE AND ENVIRONMENTS",Runs Throughout Semesters 1 and 2
162,2017-18,No,No,ADED11439,0,Level 1 (SCQF level 7),,Centre for Open Studies,,Emily Dickinson: 'to live is so startling',Summer
163,2017-18,No,No,ADED11460,0,Level 1 (SCQF level 7),,Centre for Open Studies,,Emily Dickinson: five poems and their effects,Summer
164,2017-18,No,No,ADED11257,0,Level 1 (SCQF level 7),,Centre for Open Studies,Yes,Environmental Ethics,Semester 1
165,2017-18,No,No,ADED11258,0,Level 1 (SCQF level 7),,Centre for Open Studies,,Existentialism: Nietzsche and Sartre,Semester 2
166,2017-18,No,No,ADED11483,0,Level 1 (SCQF level 7),,Centre for Open Studies,,Explore the cemeteries and crematoria of Glasgow,Summer
167,2017-18,No,No,ADED11511,0,Level 1 (SCQF level 7),,Centre for Open Studies,,Exploring (my)self and understanding others,Semester 1
168,2017-18,,No,ADED1038,20,Level 1 (SCQF level 7),,Centre for Open Studies,,Field School 1,Summer
169,2017-18,Yes,Yes,ADED1039E,10,Level 1 (SCQF level 7),,Centre for Open Studies,,FRENCH STAGE 1,Runs Throughout Semesters 1 and 2
170,2017-18,Yes,Yes,ADED1040E,10,Level 1 (SCQF level 7),,Centre for Open Studies,,FRENCH STAGE 2,Runs Throughout Semesters 1 and 2
171,2017-18,Yes,Yes,ADED1041E,10,Level 1 (SCQF level 7),,Centre for Open Studies,,FRENCH STAGE 3,Runs Throughout Semesters 1 and 2
172,2017-18,Yes,Yes,ADED1042E,10,Level 1 (SCQF level 7),,Centre for Open Studies,,FRENCH STAGE 4,Runs Throughout Semesters 1 and 2
173,2017-18,Yes,Yes,ADED1043E,20,Level 1 (SCQF level 7),,Centre for Open Studies,,FROM GIOTTO TO GAUGUIN: EUROPEAN PAINTING 1300-1900,Runs Throughout Semesters 1 and 2
174,2017-18,No,No,ADED11468,0,Level 1 (SCQF level 7),,Centre for Open Studies,,Fancy,Summer
175,2017-18,No,No,ADED11359,0,Level 1 (SCQF level 7),,Centre for Open Studies,,Fiction Workshop,Summer
176,2017-18,No,No,ADED1269E,20,Level 1 (SCQF level 7),,Centre for Open Studies,,Field school 2,Summer
177,2017-18,No,No,ADED11272,0,Level 1 (SCQF level 7),,Centre for Open Studies,,Figures in Scottish History: Fighting and Reforming,Semester 2
178,2017-18,No,No,ADED11273,0,Level 1 (SCQF level 7),,Centre for Open Studies,,Figures in Scottish History: Monarchs,Semester 1
179,2017-18,No,No,ADED11318,0,Level 1 (SCQF level 7),,Centre for Open Studies,,Film Studies: Genre,Summer
180,2017-18,No,No,ADED11316,0,Level 1 (SCQF level 7),,Centre for Open Studies,,Film studies 1,Semester 1
181,2017-18,No,No,ADED11317,0,Level 1 (SCQF level 7),,Centre for Open Studies,,Film studies 2,Semester 2
182,2017-18,No,No,ADED11477,0,Level 1 (SCQF level 7),,Centre for Open Studies,,Five famous Scots,Semester 2
183,2017-18,No,No,ADED11428,0,Level 1 (SCQF level 7),,Centre for Open Studies,,For King and Covenant,Semester 1
184,2017-18,No,No,ADED11478,0,Level 1 (SCQF level 7),,Centre for Open Studies,,Four poems by Kathleen Jamie,Summer
185,2017-18,Yes,Yes,ADED11233,0,Level 1 (SCQF level 7),,Centre for Open Studies,,From Courtiers to Colourists: Scottish painting from 1470 to 1920,Summer
186,2017-18,Yes,Yes,ADED1045E,10,Level 1 (SCQF level 7),,Centre for Open Studies,,GAELIC STAGE 1,Runs Throughout Semesters 1 and 2
187,2017-18,Yes,Yes,ADED1046E,10,Level 1 (SCQF level 7),,Centre for Open Studies,,GAELIC STAGE 2,Runs Throughout Semesters 1 and 2
188,2017-18,Yes,Yes,ADED1048E,10,Level 1 (SCQF level 7),,Centre for Open Studies,,GERMAN STAGE 1,Runs Throughout Semesters 1 and 2
189,2017-18,Yes,Yes,ADED1049E,10,Level 1 (SCQF level 7),,Centre for Open Studies,,GERMAN STAGE 2,Runs Throughout Semesters 1 and 2
190,2017-18,Yes,Yes,ADED1050E,10,Level 1 (SCQF level 7),,Centre for Open Studies,,GERMAN STAGE 3,Runs Throughout Semesters 1 and 2
191,2017-18,Yes,Yes,ADED1051E,10,Level 1 (SCQF level 7),,Centre for Open Studies,,GERMAN STAGE 4,Runs Throughout Semesters 1 and 2
192,2017-18,No,No,ADED1314E,10,Level 1 (SCQF level 7),,Centre for Open Studies,,GOTHIC ARCHITECTURE IN THE 12TH AND 13TH CENTURIES,Semester 1
193,2017-18,Yes,Yes,ADED11401E,10,Level 1 (SCQF level 7),,Centre for Open Studies,,Gaelic Stage 4,Semester 1
194,2017-18,Yes,Yes,ADED1047E,10,Level 1 (SCQF level 7),,Centre for Open Studies,,Gaelic stage 3,Summer
195,2017-18,No,No,ADED11504,0,Level 1 (SCQF level 7),,Centre for Open Studies,,Gender and sexuality in the Classical world,Semester 2
