,away_team,date,home_team,result,round,season,season_round,time,venue,match_datetime,home_score,away_score
14799,Atlas,"dom 26 de octubre, 1997",Veracruz,2 - 1,jornada-23,invierno-1997,regular,12:00  Hrs.,Luis Pirata Fuente,1997-10-26 12:00:00,2.0,1.0
14800,Celaya,"dom 26 de octubre, 1997",Puebla,2 - 1,jornada-23,invierno-1997,regular,12:00  Hrs.,Cuauhtémoc,1997-10-26 12:00:00,2.0,1.0
14801,América,"dom 26 de octubre, 1997",Cruz Azul,0 - 1,jornada-23,invierno-1997,regular,12:00  Hrs.,Azul,1997-10-26 12:00:00,0.0,1.0
14802,Monterrey,"dom 26 de octubre, 1997",Pumas,1 - 3,jornada-23,invierno-1997,regular,12:00  Hrs.,Ciudad Universitaria,1997-10-26 12:00:00,1.0,3.0
14803,Morelia,"dom 26 de octubre, 1997",Chivas,1 - 1,jornada-23,invierno-1997,regular,12:00  Hrs.,Jalisco,1997-10-26 12:00:00,1.0,1.0
14804,Necaxa,"dom 26 de octubre, 1997",Toros Neza,4 - 2,jornada-23,invierno-1997,regular,12:00  Hrs.,Neza 86,1997-10-26 12:00:00,4.0,2.0
14805,Estudiantes,"dom 26 de octubre, 1997",León,2 - 0,jornada-23,invierno-1997,regular,12:00  Hrs.,Estadio León,1997-10-26 12:00:00,2.0,0.0
14806,Santos,"sáb 25 de octubre, 1997",Tigres,1 - 0,jornada-24,invierno-1997,regular,17:00  Hrs.,Universitario,1997-10-25 17:00:00,1.0,0.0
14807,Atlante,"dom 26 de octubre, 1997",Toluca,1 - 1,jornada-24,invierno-1997,regular,12:00  Hrs.,Nemesio Díez Riega,1997-10-26 12:00:00,1.0,1.0
14808,Atlas,"dom 26 de octubre, 1997",Veracruz,2 - 1,jornada-24,invierno-1997,regular,12:00  Hrs.,Luis Pirata Fuente,1997-10-26 12:00:00,2.0,1.0
14809,Celaya,"dom 26 de octubre, 1997",Puebla,2 - 1,jornada-24,invierno-1997,regular,12:00  Hrs.,Cuauhtémoc,1997-10-26 12:00:00,2.0,1.0
14810,América,"dom 26 de octubre, 1997",Cruz Azul,0 - 1,jornada-24,invierno-1997,regular,12:00  Hrs.,Azul,1997-10-26 12:00:00,0.0,1.0
14811,Monterrey,"dom 26 de octubre, 1997",Pumas,1 - 3,jornada-24,invierno-1997,regular,12:00  Hrs.,Ciudad Universitaria,1997-10-26 12:00:00,1.0,3.0
14812,Morelia,"dom 26 de octubre, 1997",Chivas,1 - 1,jornada-24,invierno-1997,regular,12:00  Hrs.,Jalisco,1997-10-26 12:00:00,1.0,1.0
14813,Necaxa,"dom 26 de octubre, 1997",Toros Neza,4 - 2,jornada-24,invierno-1997,regular,12:00  Hrs.,Neza 86,1997-10-26 12:00:00,4.0,2.0
14814,Estudiantes,"dom 26 de octubre, 1997",León,2 - 0,jornada-24,invierno-1997,regular,12:00  Hrs.,Estadio León,1997-10-26 12:00:00,2.0,0.0
14815,Santos,"sáb 25 de octubre, 1997",Tigres,1 - 0,jornada-25,invierno-1997,regular,17:00  Hrs.,Universitario,1997-10-25 17:00:00,1.0,0.0
14816,Atlante,"dom 26 de octubre, 1997",Toluca,1 - 1,jornada-25,invierno-1997,regular,12:00  Hrs.,Nemesio Díez Riega,1997-10-26 12:00:00,1.0,1.0
14817,Atlas,"dom 26 de octubre, 1997",Veracruz,2 - 1,jornada-25,invierno-1997,regular,12:00  Hrs.,Luis Pirata Fuente,1997-10-26 12:00:00,2.0,1.0
14818,Celaya,"dom 26 de octubre, 1997",Puebla,2 - 1,jornada-25,invierno-1997,regular,12:00  Hrs.,Cuauhtémoc,1997-10-26 12:00:00,2.0,1.0
14819,América,"dom 26 de octubre, 1997",Cruz Azul,0 - 1,jornada-25,invierno-1997,regular,12:00  Hrs.,Azul,1997-10-26 12:00:00,0.0,1.0
14820,Monterrey,"dom 26 de octubre, 1997",Pumas,1 - 3,jornada-25,invierno-1997,regular,12:00  Hrs.,Ciudad Universitaria,1997-10-26 12:00:00,1.0,3.0
14821,Morelia,"dom 26 de octubre, 1997",Chivas,1 - 1,jornada-25,invierno-1997,regular,12:00  Hrs.,Jalisco,1997-10-26 12:00:00,1.0,1.0
14822,Necaxa,"dom 26 de octubre, 1997",Toros Neza,4 - 2,jornada-25,invierno-1997,regular,12:00  Hrs.,Neza 86,1997-10-26 12:00:00,4.0,2.0
14823,Estudiantes,"dom 26 de octubre, 1997",León,2 - 0,jornada-25,invierno-1997,regular,12:00  Hrs.,Estadio León,1997-10-26 12:00:00,2.0,0.0
14824,Santos,"sáb 25 de octubre, 1997",Tigres,1 - 0,jornada-26,invierno-1997,regular,17:00  Hrs.,Universitario,1997-10-25 17:00:00,1.0,0.0
14825,Atlante,"dom 26 de octubre, 1997",Toluca,1 - 1,jornada-26,invierno-1997,regular,12:00  Hrs.,Nemesio Díez Riega,1997-10-26 12:00:00,1.0,1.0
14826,Atlas,"dom 26 de octubre, 1997",Veracruz,2 - 1,jornada-26,invierno-1997,regular,12:00  Hrs.,Luis Pirata Fuente,1997-10-26 12:00:00,2.0,1.0
14827,Celaya,"dom 26 de octubre, 1997",Puebla,2 - 1,jornada-26,invierno-1997,regular,12:00  Hrs.,Cuauhtémoc,1997-10-26 12:00:00,2.0,1.0
14828,América,"dom 26 de octubre, 1997",Cruz Azul,0 - 1,jornada-26,invierno-1997,regular,12:00  Hrs.,Azul,1997-10-26 12:00:00,0.0,1.0
14829,Monterrey,"dom 26 de octubre, 1997",Pumas,1 - 3,jornada-26,invierno-1997,regular,12:00  Hrs.,Ciudad Universitaria,1997-10-26 12:00:00,1.0,3.0
14830,Morelia,"dom 26 de octubre, 1997",Chivas,1 - 1,jornada-26,invierno-1997,regular,12:00  Hrs.,Jalisco,1997-10-26 12:00:00,1.0,1.0
14831,Necaxa,"dom 26 de octubre, 1997",Toros Neza,4 - 2,jornada-26,invierno-1997,regular,12:00  Hrs.,Neza 86,1997-10-26 12:00:00,4.0,2.0
14832,Estudiantes,"dom 26 de octubre, 1997",León,2 - 0,jornada-26,invierno-1997,regular,12:00  Hrs.,Estadio León,1997-10-26 12:00:00,2.0,0.0
14833,Santos,"sáb 25 de octubre, 1997",Tigres,1 - 0,jornada-27,invierno-1997,regular,17:00  Hrs.,Universitario,1997-10-25 17:00:00,1.0,0.0
14834,Atlante,"dom 26 de octubre, 1997",Toluca,1 - 1,jornada-27,invierno-1997,regular,12:00  Hrs.,Nemesio Díez Riega,1997-10-26 12:00:00,1.0,1.0
14835,Atlas,"dom 26 de octubre, 1997",Veracruz,2 - 1,jornada-27,invierno-1997,regular,12:00  Hrs.,Luis Pirata Fuente,1997-10-26 12:00:00,2.0,1.0
14836,Celaya,"dom 26 de octubre, 1997",Puebla,2 - 1,jornada-27,invierno-1997,regular,12:00  Hrs.,Cuauhtémoc,1997-10-26 12:00:00,2.0,1.0
14837,América,"dom 26 de octubre, 1997",Cruz Azul,0 - 1,jornada-27,invierno-1997,regular,12:00  Hrs.,Azul,1997-10-26 12:00:00,0.0,1.0
14838,Monterrey,"dom 26 de octubre, 1997",Pumas,1 - 3,jornada-27,invierno-1997,regular,12:00  Hrs.,Ciudad Universitaria,1997-10-26 12:00:00,1.0,3.0
14839,Morelia,"dom 26 de octubre, 1997",Chivas,1 - 1,jornada-27,invierno-1997,regular,12:00  Hrs.,Jalisco,1997-10-26 12:00:00,1.0,1.0
14840,Necaxa,"dom 26 de octubre, 1997",Toros Neza,4 - 2,jornada-27,invierno-1997,regular,12:00  Hrs.,Neza 86,1997-10-26 12:00:00,4.0,2.0
14841,Estudiantes,"dom 26 de octubre, 1997",León,2 - 0,jornada-27,invierno-1997,regular,12:00  Hrs.,Estadio León,1997-10-26 12:00:00,2.0,0.0
14842,Santos,"sáb 25 de octubre, 1997",Tigres,1 - 0,jornada-28,invierno-1997,regular,17:00  Hrs.,Universitario,1997-10-25 17:00:00,1.0,0.0
14843,Atlante,"dom 26 de octubre, 1997",Toluca,1 - 1,jornada-28,invierno-1997,regular,12:00  Hrs.,Nemesio Díez Riega,1997-10-26 12:00:00,1.0,1.0
14844,Atlas,"dom 26 de octubre, 1997",Veracruz,2 - 1,jornada-28,invierno-1997,regular,12:00  Hrs.,Luis Pirata Fuente,1997-10-26 12:00:00,2.0,1.0
14845,Celaya,"dom 26 de octubre, 1997",Puebla,2 - 1,jornada-28,invierno-1997,regular,12:00  Hrs.,Cuauhtémoc,1997-10-26 12:00:00,2.0,1.0
14846,América,"dom 26 de octubre, 1997",Cruz Azul,0 - 1,jornada-28,invierno-1997,regular,12:00  Hrs.,Azul,1997-10-26 12:00:00,0.0,1.0
14847,Monterrey,"dom 26 de octubre, 1997",Pumas,1 - 3,jornada-28,invierno-1997,regular,12:00  Hrs.,Ciudad Universitaria,1997-10-26 12:00:00,1.0,3.0
14848,Morelia,"dom 26 de octubre, 1997",Chivas,1 - 1,jornada-28,invierno-1997,regular,12:00  Hrs.,Jalisco,1997-10-26 12:00:00,1.0,1.0
14849,Necaxa,"dom 26 de octubre, 1997",Toros Neza,4 - 2,jornada-28,invierno-1997,regular,12:00  Hrs.,Neza 86,1997-10-26 12:00:00,4.0,2.0
14850,Estudiantes,"dom 26 de octubre, 1997",León,2 - 0,jornada-28,invierno-1997,regular,12:00  Hrs.,Estadio León,1997-10-26 12:00:00,2.0,0.0
14851,Santos,"sáb 25 de octubre, 1997",Tigres,1 - 0,jornada-29,invierno-1997,regular,17:00  Hrs.,Universitario,1997-10-25 17:00:00,1.0,0.0
14852,Atlante,"dom 26 de octubre, 1997",Toluca,1 - 1,jornada-29,invierno-1997,regular,12:00  Hrs.,Nemesio Díez Riega,1997-10-26 12:00:00,1.0,1.0
14853,Atlas,"dom 26 de octubre, 1997",Veracruz,2 - 1,jornada-29,invierno-1997,regular,12:00  Hrs.,Luis Pirata Fuente,1997-10-26 12:00:00,2.0,1.0
14854,Celaya,"dom 26 de octubre, 1997",Puebla,2 - 1,jornada-29,invierno-1997,regular,12:00  Hrs.,Cuauhtémoc,1997-10-26 12:00:00,2.0,1.0
14855,América,"dom 26 de octubre, 1997",Cruz Azul,0 - 1,jornada-29,invierno-1997,regular,12:00  Hrs.,Azul,1997-10-26 12:00:00,0.0,1.0
14856,Monterrey,"dom 26 de octubre, 1997",Pumas,1 - 3,jornada-29,invierno-1997,regular,12:00  Hrs.,Ciudad Universitaria,1997-10-26 12:00:00,1.0,3.0
14857,Morelia,"dom 26 de octubre, 1997",Chivas,1 - 1,jornada-29,invierno-1997,regular,12:00  Hrs.,Jalisco,1997-10-26 12:00:00,1.0,1.0
14858,Necaxa,"dom 26 de octubre, 1997",Toros Neza,4 - 2,jornada-29,invierno-1997,regular,12:00  Hrs.,Neza 86,1997-10-26 12:00:00,4.0,2.0
14859,Estudiantes,"dom 26 de octubre, 1997",León,2 - 0,jornada-29,invierno-1997,regular,12:00  Hrs.,Estadio León,1997-10-26 12:00:00,2.0,0.0
14860,Santos,"sáb 25 de octubre, 1997",Tigres,1 - 0,jornada-30,invierno-1997,regular,17:00  Hrs.,Universitario,1997-10-25 17:00:00,1.0,0.0
14861,Atlante,"dom 26 de octubre, 1997",Toluca,1 - 1,jornada-30,invierno-1997,regular,12:00  Hrs.,Nemesio Díez Riega,1997-10-26 12:00:00,1.0,1.0
14862,Atlas,"dom 26 de octubre, 1997",Veracruz,2 - 1,jornada-30,invierno-1997,regular,12:00  Hrs.,Luis Pirata Fuente,1997-10-26 12:00:00,2.0,1.0
14863,Celaya,"dom 26 de octubre, 1997",Puebla,2 - 1,jornada-30,invierno-1997,regular,12:00  Hrs.,Cuauhtémoc,1997-10-26 12:00:00,2.0,1.0
14864,América,"dom 26 de octubre, 1997",Cruz Azul,0 - 1,jornada-30,invierno-1997,regular,12:00  Hrs.,Azul,1997-10-26 12:00:00,0.0,1.0
14865,Monterrey,"dom 26 de octubre, 1997",Pumas,1 - 3,jornada-30,invierno-1997,regular,12:00  Hrs.,Ciudad Universitaria,1997-10-26 12:00:00,1.0,3.0
14866,Morelia,"dom 26 de octubre, 1997",Chivas,1 - 1,jornada-30,invierno-1997,regular,12:00  Hrs.,Jalisco,1997-10-26 12:00:00,1.0,1.0
14867,Necaxa,"dom 26 de octubre, 1997",Toros Neza,4 - 2,jornada-30,invierno-1997,regular,12:00  Hrs.,Neza 86,1997-10-26 12:00:00,4.0,2.0
14868,Estudiantes,"dom 26 de octubre, 1997",León,2 - 0,jornada-30,invierno-1997,regular,12:00  Hrs.,Estadio León,1997-10-26 12:00:00,2.0,0.0
14869,Santos,"sáb 25 de octubre, 1997",Tigres,1 - 0,jornada-31,invierno-1997,regular,17:00  Hrs.,Universitario,1997-10-25 17:00:00,1.0,0.0
14870,Atlante,"dom 26 de octubre, 1997",Toluca,1 - 1,jornada-31,invierno-1997,regular,12:00  Hrs.,Nemesio Díez Riega,1997-10-26 12:00:00,1.0,1.0
14871,Atlas,"dom 26 de octubre, 1997",Veracruz,2 - 1,jornada-31,invierno-1997,regular,12:00  Hrs.,Luis Pirata Fuente,1997-10-26 12:00:00,2.0,1.0
14872,Celaya,"dom 26 de octubre, 1997",Puebla,2 - 1,jornada-31,invierno-1997,regular,12:00  Hrs.,Cuauhtémoc,1997-10-26 12:00:00,2.0,1.0
14873,América,"dom 26 de octubre, 1997",Cruz Azul,0 - 1,jornada-31,invierno-1997,regular,12:00  Hrs.,Azul,1997-10-26 12:00:00,0.0,1.0
14874,Monterrey,"dom 26 de octubre, 1997",Pumas,1 - 3,jornada-31,invierno-1997,regular,12:00  Hrs.,Ciudad Universitaria,1997-10-26 12:00:00,1.0,3.0
14875,Morelia,"dom 26 de octubre, 1997",Chivas,1 - 1,jornada-31,invierno-1997,regular,12:00  Hrs.,Jalisco,1997-10-26 12:00:00,1.0,1.0
14876,Necaxa,"dom 26 de octubre, 1997",Toros Neza,4 - 2,jornada-31,invierno-1997,regular,12:00  Hrs.,Neza 86,1997-10-26 12:00:00,4.0,2.0
14877,Estudiantes,"dom 26 de octubre, 1997",León,2 - 0,jornada-31,invierno-1997,regular,12:00  Hrs.,Estadio León,1997-10-26 12:00:00,2.0,0.0
14878,Santos,"sáb 25 de octubre, 1997",Tigres,1 - 0,jornada-32,invierno-1997,regular,17:00  Hrs.,Universitario,1997-10-25 17:00:00,1.0,0.0
14879,Atlante,"dom 26 de octubre, 1997",Toluca,1 - 1,jornada-32,invierno-1997,regular,12:00  Hrs.,Nemesio Díez Riega,1997-10-26 12:00:00,1.0,1.0
14880,Atlas,"dom 26 de octubre, 1997",Veracruz,2 - 1,jornada-32,invierno-1997,regular,12:00  Hrs.,Luis Pirata Fuente,1997-10-26 12:00:00,2.0,1.0
14881,Celaya,"dom 26 de octubre, 1997",Puebla,2 - 1,jornada-32,invierno-1997,regular,12:00  Hrs.,Cuauhtémoc,1997-10-26 12:00:00,2.0,1.0
14882,América,"dom 26 de octubre, 1997",Cruz Azul,0 - 1,jornada-32,invierno-1997,regular,12:00  Hrs.,Azul,1997-10-26 12:00:00,0.0,1.0
14883,Monterrey,"dom 26 de octubre, 1997",Pumas,1 - 3,jornada-32,invierno-1997,regular,12:00  Hrs.,Ciudad Universitaria,1997-10-26 12:00:00,1.0,3.0
14884,Morelia,"dom 26 de octubre, 1997",Chivas,1 - 1,jornada-32,invierno-1997,regular,12:00  Hrs.,Jalisco,1997-10-26 12:00:00,1.0,1.0
14885,Necaxa,"dom 26 de octubre, 1997",Toros Neza,4 - 2,jornada-32,invierno-1997,regular,12:00  Hrs.,Neza 86,1997-10-26 12:00:00,4.0,2.0
14886,Estudiantes,"dom 26 de octubre, 1997",León,2 - 0,jornada-32,invierno-1997,regular,12:00  Hrs.,Estadio León,1997-10-26 12:00:00,2.0,0.0
14887,Santos,"sáb 25 de octubre, 1997",Tigres,1 - 0,jornada-33,invierno-1997,regular,17:00  Hrs.,Universitario,1997-10-25 17:00:00,1.0,0.0
14888,Atlante,"dom 26 de octubre, 1997",Toluca,1 - 1,jornada-33,invierno-1997,regular,12:00  Hrs.,Nemesio Díez Riega,1997-10-26 12:00:00,1.0,1.0
14889,Atlas,"dom 26 de octubre, 1997",Veracruz,2 - 1,jornada-33,invierno-1997,regular,12:00  Hrs.,Luis Pirata Fuente,1997-10-26 12:00:00,2.0,1.0
14890,Celaya,"dom 26 de octubre, 1997",Puebla,2 - 1,jornada-33,invierno-1997,regular,12:00  Hrs.,Cuauhtémoc,1997-10-26 12:00:00,2.0,1.0
14891,América,"dom 26 de octubre, 1997",Cruz Azul,0 - 1,jornada-33,invierno-1997,regular,12:00  Hrs.,Azul,1997-10-26 12:00:00,0.0,1.0
14892,Monterrey,"dom 26 de octubre, 1997",Pumas,1 - 3,jornada-33,invierno-1997,regular,12:00  Hrs.,Ciudad Universitaria,1997-10-26 12:00:00,1.0,3.0
14893,Morelia,"dom 26 de octubre, 1997",Chivas,1 - 1,jornada-33,invierno-1997,regular,12:00  Hrs.,Jalisco,1997-10-26 12:00:00,1.0,1.0
14894,Necaxa,"dom 26 de octubre, 1997",Toros Neza,4 - 2,jornada-33,invierno-1997,regular,12:00  Hrs.,Neza 86,1997-10-26 12:00:00,4.0,2.0
14895,Estudiantes,"dom 26 de octubre, 1997",León,2 - 0,jornada-33,invierno-1997,regular,12:00  Hrs.,Estadio León,1997-10-26 12:00:00,2.0,0.0
14896,Santos,"sáb 25 de octubre, 1997",Tigres,1 - 0,jornada-34,invierno-1997,regular,17:00  Hrs.,Universitario,1997-10-25 17:00:00,1.0,0.0
14897,Atlante,"dom 26 de octubre, 1997",Toluca,1 - 1,jornada-34,invierno-1997,regular,12:00  Hrs.,Nemesio Díez Riega,1997-10-26 12:00:00,1.0,1.0
14898,Atlas,"dom 26 de octubre, 1997",Veracruz,2 - 1,jornada-34,invierno-1997,regular,12:00  Hrs.,Luis Pirata Fuente,1997-10-26 12:00:00,2.0,1.0
14899,Celaya,"dom 26 de octubre, 1997",Puebla,2 - 1,jornada-34,invierno-1997,regular,12:00  Hrs.,Cuauhtémoc,1997-10-26 12:00:00,2.0,1.0
14900,América,"dom 26 de octubre, 1997",Cruz Azul,0 - 1,jornada-34,invierno-1997,regular,12:00  Hrs.,Azul,1997-10-26 12:00:00,0.0,1.0
14901,Monterrey,"dom 26 de octubre, 1997",Pumas,1 - 3,jornada-34,invierno-1997,regular,12:00  Hrs.,Ciudad Universitaria,1997-10-26 12:00:00,1.0,3.0
14902,Morelia,"dom 26 de octubre, 1997",Chivas,1 - 1,jornada-34,invierno-1997,regular,12:00  Hrs.,Jalisco,1997-10-26 12:00:00,1.0,1.0
14903,Necaxa,"dom 26 de octubre, 1997",Toros Neza,4 - 2,jornada-34,invierno-1997,regular,12:00  Hrs.,Neza 86,1997-10-26 12:00:00,4.0,2.0
14904,Estudiantes,"dom 26 de octubre, 1997",León,2 - 0,jornada-34,invierno-1997,regular,12:00  Hrs.,Estadio León,1997-10-26 12:00:00,2.0,0.0
14905,Santos,"sáb 25 de octubre, 1997",Tigres,1 - 0,jornada-35,invierno-1997,regular,17:00  Hrs.,Universitario,1997-10-25 17:00:00,1.0,0.0
14906,Atlante,"dom 26 de octubre, 1997",Toluca,1 - 1,jornada-35,invierno-1997,regular,12:00  Hrs.,Nemesio Díez Riega,1997-10-26 12:00:00,1.0,1.0
14907,Atlas,"dom 26 de octubre, 1997",Veracruz,2 - 1,jornada-35,invierno-1997,regular,12:00  Hrs.,Luis Pirata Fuente,1997-10-26 12:00:00,2.0,1.0
14908,Celaya,"dom 26 de octubre, 1997",Puebla,2 - 1,jornada-35,invierno-1997,regular,12:00  Hrs.,Cuauhtémoc,1997-10-26 12:00:00,2.0,1.0
14909,América,"dom 26 de octubre, 1997",Cruz Azul,0 - 1,jornada-35,invierno-1997,regular,12:00  Hrs.,Azul,1997-10-26 12:00:00,0.0,1.0
14910,Monterrey,"dom 26 de octubre, 1997",Pumas,1 - 3,jornada-35,invierno-1997,regular,12:00  Hrs.,Ciudad Universitaria,1997-10-26 12:00:00,1.0,3.0
14911,Morelia,"dom 26 de octubre, 1997",Chivas,1 - 1,jornada-35,invierno-1997,regular,12:00  Hrs.,Jalisco,1997-10-26 12:00:00,1.0,1.0
14912,Necaxa,"dom 26 de octubre, 1997",Toros Neza,4 - 2,jornada-35,invierno-1997,regular,12:00  Hrs.,Neza 86,1997-10-26 12:00:00,4.0,2.0
14913,Estudiantes,"dom 26 de octubre, 1997",León,2 - 0,jornada-35,invierno-1997,regular,12:00  Hrs.,Estadio León,1997-10-26 12:00:00,2.0,0.0
14914,Santos,"sáb 25 de octubre, 1997",Tigres,1 - 0,jornada-36,invierno-1997,regular,17:00  Hrs.,Universitario,1997-10-25 17:00:00,1.0,0.0
14915,Atlante,"dom 26 de octubre, 1997",Toluca,1 - 1,jornada-36,invierno-1997,regular,12:00  Hrs.,Nemesio Díez Riega,1997-10-26 12:00:00,1.0,1.0
14916,Atlas,"dom 26 de octubre, 1997",Veracruz,2 - 1,jornada-36,invierno-1997,regular,12:00  Hrs.,Luis Pirata Fuente,1997-10-26 12:00:00,2.0,1.0
14917,Celaya,"dom 26 de octubre, 1997",Puebla,2 - 1,jornada-36,invierno-1997,regular,12:00  Hrs.,Cuauhtémoc,1997-10-26 12:00:00,2.0,1.0
14918,América,"dom 26 de octubre, 1997",Cruz Azul,0 - 1,jornada-36,invierno-1997,regular,12:00  Hrs.,Azul,1997-10-26 12:00:00,0.0,1.0
14919,Monterrey,"dom 26 de octubre, 1997",Pumas,1 - 3,jornada-36,invierno-1997,regular,12:00  Hrs.,Ciudad Universitaria,1997-10-26 12:00:00,1.0,3.0
14920,Morelia,"dom 26 de octubre, 1997",Chivas,1 - 1,jornada-36,invierno-1997,regular,12:00  Hrs.,Jalisco,1997-10-26 12:00:00,1.0,1.0
14921,Necaxa,"dom 26 de octubre, 1997",Toros Neza,4 - 2,jornada-36,invierno-1997,regular,12:00  Hrs.,Neza 86,1997-10-26 12:00:00,4.0,2.0
14922,Estudiantes,"dom 26 de octubre, 1997",León,2 - 0,jornada-36,invierno-1997,regular,12:00  Hrs.,Estadio León,1997-10-26 12:00:00,2.0,0.0
14923,Santos,"sáb 25 de octubre, 1997",Tigres,1 - 0,jornada-37,invierno-1997,regular,17:00  Hrs.,Universitario,1997-10-25 17:00:00,1.0,0.0
14924,Atlante,"dom 26 de octubre, 1997",Toluca,1 - 1,jornada-37,invierno-1997,regular,12:00  Hrs.,Nemesio Díez Riega,1997-10-26 12:00:00,1.0,1.0
14925,Atlas,"dom 26 de octubre, 1997",Veracruz,2 - 1,jornada-37,invierno-1997,regular,12:00  Hrs.,Luis Pirata Fuente,1997-10-26 12:00:00,2.0,1.0
14926,Celaya,"dom 26 de octubre, 1997",Puebla,2 - 1,jornada-37,invierno-1997,regular,12:00  Hrs.,Cuauhtémoc,1997-10-26 12:00:00,2.0,1.0
14927,América,"dom 26 de octubre, 1997",Cruz Azul,0 - 1,jornada-37,invierno-1997,regular,12:00  Hrs.,Azul,1997-10-26 12:00:00,0.0,1.0
14928,Monterrey,"dom 26 de octubre, 1997",Pumas,1 - 3,jornada-37,invierno-1997,regular,12:00  Hrs.,Ciudad Universitaria,1997-10-26 12:00:00,1.0,3.0
14929,Morelia,"dom 26 de octubre, 1997",Chivas,1 - 1,jornada-37,invierno-1997,regular,12:00  Hrs.,Jalisco,1997-10-26 12:00:00,1.0,1.0
14930,Necaxa,"dom 26 de octubre, 1997",Toros Neza,4 - 2,jornada-37,invierno-1997,regular,12:00  Hrs.,Neza 86,1997-10-26 12:00:00,4.0,2.0
14931,Estudiantes,"dom 26 de octubre, 1997",León,2 - 0,jornada-37,invierno-1997,regular,12:00  Hrs.,Estadio León,1997-10-26 12:00:00,2.0,0.0
14932,Santos,"sáb 25 de octubre, 1997",Tigres,1 - 0,jornada-38,invierno-1997,regular,17:00  Hrs.,Universitario,1997-10-25 17:00:00,1.0,0.0
14933,Atlante,"dom 26 de octubre, 1997",Toluca,1 - 1,jornada-38,invierno-1997,regular,12:00  Hrs.,Nemesio Díez Riega,1997-10-26 12:00:00,1.0,1.0
14934,Atlas,"dom 26 de octubre, 1997",Veracruz,2 - 1,jornada-38,invierno-1997,regular,12:00  Hrs.,Luis Pirata Fuente,1997-10-26 12:00:00,2.0,1.0
14935,Celaya,"dom 26 de octubre, 1997",Puebla,2 - 1,jornada-38,invierno-1997,regular,12:00  Hrs.,Cuauhtémoc,1997-10-26 12:00:00,2.0,1.0
14936,América,"dom 26 de octubre, 1997",Cruz Azul,0 - 1,jornada-38,invierno-1997,regular,12:00  Hrs.,Azul,1997-10-26 12:00:00,0.0,1.0
14937,Monterrey,"dom 26 de octubre, 1997",Pumas,1 - 3,jornada-38,invierno-1997,regular,12:00  Hrs.,Ciudad Universitaria,1997-10-26 12:00:00,1.0,3.0
14938,Morelia,"dom 26 de octubre, 1997",Chivas,1 - 1,jornada-38,invierno-1997,regular,12:00  Hrs.,Jalisco,1997-10-26 12:00:00,1.0,1.0
14939,Necaxa,"dom 26 de octubre, 1997",Toros Neza,4 - 2,jornada-38,invierno-1997,regular,12:00  Hrs.,Neza 86,1997-10-26 12:00:00,4.0,2.0
14940,Estudiantes,"dom 26 de octubre, 1997",León,2 - 0,jornada-38,invierno-1997,regular,12:00  Hrs.,Estadio León,1997-10-26 12:00:00,2.0,0.0
14941,América,"mar 18 de noviembre, 1997",Chivas,1 - 3,ida,invierno-1997,cuartos-de-final,20:45  Hrs.,Jalisco,1997-11-18 20:45:00,1.0,3.0
14942,Atlante,"mié 19 de noviembre, 1997",Morelia,0 - 0,ida,invierno-1997,cuartos-de-final,15:00  Hrs.,Morelos,1997-11-19 15:00:00,0.0,0.0
14943,Cruz Azul,"mié 19 de noviembre, 1997",Atlas,0 - 1,ida,invierno-1997,cuartos-de-final,20:45  Hrs.,Jalisco,1997-11-19 20:45:00,0.0,1.0
14944,León,"jue 20 de noviembre, 1997",Toros Neza,1 - 0,ida,invierno-1997,cuartos-de-final,15:00  Hrs.,Neza 86,1997-11-20 15:00:00,1.0,0.0
14945,Chivas,"vie 21 de noviembre, 1997",América,1 - 0,vuelta,invierno-1997,cuartos-de-final,17:00  Hrs.,Azteca,1997-11-21 17:00:00,1.0,0.0
14946,Morelia,"sáb 22 de noviembre, 1997",Atlante,1 - 0,vuelta,invierno-1997,cuartos-de-final,12:00  Hrs.,Azteca,1997-11-22 12:00:00,1.0,0.0
14947,Atlas,"sáb 22 de noviembre, 1997",Cruz Azul,4 - 1,vuelta,invierno-1997,cuartos-de-final,17:00  Hrs.,Azul,1997-11-22 17:00:00,4.0,1.0
14948,Toros Neza,"dom 23 de noviembre, 1997",León,6 - 3,vuelta,invierno-1997,cuartos-de-final,12:00  Hrs.,Estadio León,1997-11-23 12:00:00,6.0,3.0
14949,Cruz Azul,"mié 26 de noviembre, 1997",Atlante,1 - 1,ida,invierno-1997,semifinales,12:00  Hrs.,Azteca,1997-11-26 12:00:00,1.0,1.0
14950,León,"jue 27 de noviembre, 1997",América,1 - 0,ida,invierno-1997,semifinales,17:00  Hrs.,Azteca,1997-11-27 17:00:00,1.0,0.0
14951,Atlante,"sáb 29 de noviembre, 1997",Cruz Azul,1 - 0,vuelta,invierno-1997,semifinales,17:00  Hrs.,Azul,1997-11-29 17:00:00,1.0,0.0
14952,América,"dom 30 de noviembre, 1997",León,3 - 1,vuelta,invierno-1997,semifinales,12:00  Hrs.,Estadio León,1997-11-30 12:00:00,3.0,1.0
14953,Cruz Azul,"dom 7 de diciembre, 1997",León,1 - 1,vuelta,invierno-1997,final,12:00  Hrs.,Estadio León,1997-12-07 12:00:00,1.0,1.0
14954,León,"jue 4 de diciembre, 1997",Cruz Azul,1 - 0,ida,invierno-1997,final,17:00  Hrs.,Azul,1997-12-04 17:00:00,1.0,0.0
