,date,destination,note,origin,price,url
539,2017-07-29,Montreal,,CDMX,5285.0,http://www.vuelax.com/2017/07/29/cdmx-a-montreal-5285/
540,2017-07-29,Calgary,,Mazatlán,4097.0,http://www.vuelax.com/2017/07/29/mazatlan-a-calgary-4097/
541,2017-07-29,Shanghai,,CDMX,11560.0,http://www.vuelax.com/2017/07/29/cdmx-a-shanghai-11560/
542,2017-07-28,"Barranquilla, Colombia",,CDMX,4794.0,http://www.vuelax.com/2017/07/28/cdmx-a-barranquilla-colombia-4794/
543,2017-07-28,Galápagos,,CUN y CDMX,8399.0,http://www.vuelax.com/2017/07/28/cun-y-cdmx-a-galapagos-8399/
544,2017-07-27,Escocia,,CUN,10410.0,http://www.vuelax.com/2017/07/27/cun-a-escocia-10349/
545,2017-07-27,"Rio de Janeiro, Brasil",,CDMX,6517.0,http://www.vuelax.com/2017/07/27/cdmx-a-rio-de-janeiro-brasil-6517/
546,2017-07-27,"Lima, Perú",,CDMX,6239.0,http://www.vuelax.com/2017/07/27/cdmx-y-23-ciudades-mas-a-lima-peru-6146/
547,2017-07-27,Miami,,CUN y 21 ciudades,2904.0,http://www.vuelax.com/2017/07/27/cun-y-21-ciudades-a-miami-2904/
548,2017-07-27,India,,L.A.,8062.0,http://www.vuelax.com/2017/07/27/l-a-a-india-8062/
549,2017-07-27,Buenos Aires,,"CDMX, MTY y GDL",10987.0,http://www.vuelax.com/2017/07/27/cdmx-mty-y-gdl-a-buenos-aires-10929-opcion-de-hostal-desde-224-pesos-con-desayuno-incluido/
550,2017-07-27,Bogotá,,CDMX,4319.0,http://www.vuelax.com/2017/07/27/cdmx-a-bogota-4319/
551,2017-07-26,"San Juan, Puerto Rico",,CDMX y CUN,4882.0,http://www.vuelax.com/2017/07/26/cdmx-y-cun-a-san-juan-puerto-rico-5145-opcion-de-hostal-desde-364-pesos-la-noche-con-desayuno-incluido/
552,2017-07-26,Seattle,,CDMX y GDL,5583.0,http://www.vuelax.com/2017/07/26/cdmx-y-gdl-a-seattle-5583/
553,2017-07-26,Guatemala,,CDMX y 23 ciudades más,3240.0,http://www.vuelax.com/2017/07/26/cdmx-y-23-ciudades-mas-a-guatemala-3240-opcion-de-hostal-desde-190-pesos-la-noche-con-desayuno-incluido/
554,2017-07-26,Chiapas,,CDMX,1774.0,http://www.vuelax.com/2017/07/26/cdmx-a-chiapas-1774/
555,2017-07-26,Bélgica,,CUN,9518.0,http://www.vuelax.com/2017/07/26/cun-a-belgica-9518/
556,2017-07-26,Cancún,,CDMX,1919.0,http://www.vuelax.com/2017/07/26/cdmx-a-cancun-1919/
557,2017-07-25,Reikiavik,,CDMX o GDL a Los Angeles y Los Angeles,9909.0,http://www.vuelax.com/2017/07/25/cdmx-o-gdl-a-los-angeles-y-los-angeles-a-reikiavik-9909/
558,2017-07-25,Las Vegas,,CDMX y GDL,3113.0,http://www.vuelax.com/2017/07/25/cdmx-y-gdl-a-las-vegas-3113/
559,2017-07-25,Cuba,,CUN,3695.0,http://www.vuelax.com/2017/07/25/cun-a-cuba-3672/
560,2017-07-25,Islandia,,Montreal y Toronto,5498.0,http://www.vuelax.com/2017/07/25/montreal-y-toronto-a-islandia-5380/
561,2017-07-24,Ámsterdam,,CUN,9601.0,http://www.vuelax.com/2017/07/24/cun-a-amsterdam-9259/
562,2017-07-24,Toronto,,CDMX y 23 ciudades más,6736.0,http://www.vuelax.com/2017/07/24/cdmx-y-23-ciudades-mas-a-toronto-6594-opcion-de-hostal-desde-415-pesos-la-noche-con-desayuno-incluido/
563,2017-07-24,Cuzco,,CDMX y 21 ciudades,6421.0,http://www.vuelax.com/2017/07/24/cdmx-y-21-ciudades-a-cuzco-6281/
564,2017-07-24,Caracas,,CDMX,6814.0,http://www.vuelax.com/2017/07/24/cdmx-a-caracas-6814/
565,2017-07-24,"Busan, Corea",,CDMX y GDL,12573.0,http://www.vuelax.com/2017/07/24/cdmx-y-gdl-a-busan-corea-12573-opcion-con-11-noches-de-hostal-y-vuelos-por-14445-pesos/
566,2017-07-24,Río,,CDMX,7406.0,http://www.vuelax.com/2017/07/24/cdmx-a-rio-7406/
567,2017-07-23,Cartagena,,CDMX,5789.0,http://www.vuelax.com/2017/07/23/cdmx-a-cartagena-5789/
568,2017-07-23,Medellín,,CDMX,3919.0,http://www.vuelax.com/2017/07/23/cdmx-a-medellin-3919/
569,2017-07-22,Costa Rica,,"CDMX, GDL  y 21 ciudades",3525.0,http://www.vuelax.com/2017/07/22/cdmx-gdl-y-21-ciudades-a-costa-rica-3525/
570,2017-07-21,"Santa Clara, Cuba",,CDMX,4988.0,http://www.vuelax.com/2017/07/21/cdmx-a-santa-clara-cuba-4891/
571,2017-07-21,NYC,,MTY y GDL,2172.0,http://www.vuelax.com/2017/07/21/mty-gdl-y-cdmx-a-nyc-2172/
572,2017-07-21,"Nagoya, Japón",,Los Angeles,10697.0,http://www.vuelax.com/2017/07/21/cdmx-o-gdl-a-los-angeles-los-angeles-a-nagoya-japon-10697/
573,2017-07-21,Singapur,,CDMX,14416.0,http://www.vuelax.com/2017/07/21/cdmx-a-singapur-14416/
574,2017-07-21,St. Maarten,,MTY,6058.0,http://www.vuelax.com/2017/07/21/mty-a-st-maarten-6058/
575,2017-07-20,Ibiza,,CDMX,16945.0,http://www.vuelax.com/2017/07/20/cdmx-a-ibiza-16945/
576,2017-07-20,"Bangkok, Tailandia",,CDMX,12979.0,http://www.vuelax.com/2017/07/20/cdmx-a-bangkok-tailandia-12979-opcion-con-11-noches-de-hospedaje-desayunos-y-vuelos-por-14987/
577,2017-07-20,"Marrakech, Marruecos",,CUN,13156.0,http://www.vuelax.com/2017/07/20/cun-a-marrakech-marruecos-12956/
578,2017-07-20,Okinawa,,CDMX,12249.0,http://www.vuelax.com/2017/07/20/cdmx-a-okinawa-12249/
579,2017-07-20,Curazao,,CDMX,7244.0,http://www.vuelax.com/2017/07/20/cdmx-a-curazao-7244/
580,2017-07-19,"Cartagena, Colombia",,CDMX,5786.0,http://www.vuelax.com/2017/07/19/cdmx-a-cartagena-colombia-opcion-de-hostal-desde-171-pesos-la-noche-con-desayuno-incluido/
581,2017-07-19,"Medellín, Colombia",,CDMX y 23 ciudades más,3954.0,http://www.vuelax.com/2017/07/19/cdmx-y-23-ciudades-mas-a-medellin-colombia-3954-opcion-de-hostal-desde-161-pesos-la-noche-con-desayuno-incluido/
582,2017-07-19,"Nueva Delhi, India",,Los Ángeles,11987.0,http://www.vuelax.com/2017/07/19/cdmx-o-gdl-a-los-angeles-los-angeles-a-nueva-delhi-india-11987/
583,2017-07-19,La Habana,,CUN y CDMX,3889.0,http://www.vuelax.com/2017/07/19/cun-y-cdmx-a-la-habana-3669/
584,2017-07-19,Calgary,,Mazatlán,4067.0,http://www.vuelax.com/2017/07/19/mazatlan-a-calgary-4067/
585,2017-07-19,"Bali, Indonesia",,CDMX,12902.0,http://www.vuelax.com/2017/07/19/cdmx-a-bali-indonesia-12902/
586,2017-07-19,San Francisco,,CDMX y GDL,3858.0,http://www.vuelax.com/2017/07/19/cdmx-y-gdl-a-san-francisco-3858/
587,2017-07-19,Ámsterdam,,CUN,9594.0,http://www.vuelax.com/2017/07/19/cun-a-amsterdam-9594/
588,2017-07-18,Madrid,,CUN,9464.0,http://www.vuelax.com/2017/07/18/cun-a-madrid-9464/
589,2017-07-18,Los Angeles,,CDMX y GDL,3683.0,http://www.vuelax.com/2017/07/18/cdmx-y-gdl-a-los-angeles-3306/
590,2017-07-18,Medellín,,CDMX,3212.0,http://www.vuelax.com/2017/07/18/cdmx-a-medellin-3212/
591,2017-07-18,Bogotá,,CDMX,2832.0,http://www.vuelax.com/2017/07/18/cdmx-a-bogota-2832/
592,2017-07-18,"Lima, Perú",,CDMX y 23 ciudades más,4928.0,http://www.vuelax.com/2017/07/18/cdmx-y-23-ciudades-mas-a-lima-peru-4928/
593,2017-07-18,Reikiavik,,Toronto,12878.0,http://www.vuelax.com/2017/07/18/cdmx-a-toronto-toronto-a-reikiavik-12878/
594,2017-07-18,Nagoya,,San Diego,6133.0,http://www.vuelax.com/2017/07/18/san-diego-a-nagoya-6133/
595,2017-07-18,Chile,,CDMX y 21 ciudades,8732.0,http://www.vuelax.com/2017/07/18/cdmx-y-21-ciudades-a-chile-8732/
596,2017-07-18,Nagoya,,San Diego,6897.0,http://www.vuelax.com/2017/07/18/san-diego-a-nagoya-6897/
597,2017-07-18,Camboya,,CDMX,12319.0,http://www.vuelax.com/2017/07/18/cdmx-a-camboya-12319/
598,2017-07-17,Toronto,,CDMX,6736.0,http://www.vuelax.com/2017/07/17/cdmx-a-toronto-6555-opcion-de-6-noches-de-hostal-desayunos-y-vuelos-por-9476-pesos/
599,2017-07-17,Río de Janeiro,,CDMX,7691.0,http://www.vuelax.com/2017/07/17/cdmx-a-rio-de-janeiro-7691/
600,2017-07-17,Noruega,,NYC,4477.0,http://www.vuelax.com/2017/07/17/nyc-a-noruega-4477/
601,2017-07-17,Hawaii,,Mérida y 21 ciudades,7998.0,http://www.vuelax.com/2017/07/17/merida-y-21-ciudades-a-hawaii-7998/
602,2017-07-16,Cali,,CDMX,4304.0,http://www.vuelax.com/2017/07/16/cdmx-a-cali-4304/
603,2017-07-15,Bogotá,,CDMX,4338.0,http://www.vuelax.com/2017/07/15/cdmx-a-bogota-4338/
604,2017-07-15,Escocia,,CUN,9681.0,http://www.vuelax.com/2017/07/15/cun-a-escocia-9681/
605,2017-07-15,Madrid,,CUN,9547.0,http://www.vuelax.com/2017/07/15/cun-a-madrid-9547/
606,2017-07-14,Islandia,,Canadá,5755.0,http://www.vuelax.com/2017/07/14/canada-a-islandia-5755/
607,2017-07-14,Cartagena,,CDMX,6250.0,http://www.vuelax.com/2017/07/14/cdmx-a-cartagena-6250-opcion-de-vuelos-11-noches-de-hostal-y-desayunos-por-7452/
608,2017-07-14,Punta Cana,,CUN,6115.0,http://www.vuelax.com/2017/07/14/cun-a-punta-cana-6115/
609,2017-07-14,Shanghai,,CDMX y 23 ciudades más,15020.0,http://www.vuelax.com/2017/07/14/cdmx-a-shanghai-15020/
610,2017-07-13,Miami,,CUN,2899.0,http://www.vuelax.com/2017/07/13/cun-a-miami-2899/
611,2017-07-13,"Phuket, Tailandia",,CDMX,16814.0,http://www.vuelax.com/2017/07/13/cdmx-a-phuket-tailandia-16814-opcion-de-vuelos-11-noches-de-hostal-y-desayunos-por-18591-pesos/
612,2017-07-13,Barbados,,CDMX,7309.0,http://www.vuelax.com/2017/07/13/cdmx-a-barbados-7290/
613,2017-07-13,Brasil,,CDMX,7700.0,http://www.vuelax.com/2017/07/13/cdmx-a-brasil-7604/
614,2017-07-13,Marruecos,,CUN,13156.0,http://www.vuelax.com/2017/07/13/cun-a-marruecos-13156/
615,2017-07-12,Cuzco,,CDMX Y 21 ciudades más,6269.0,http://www.vuelax.com/2017/07/12/cdmx-y-21-ciudades-mas-a-cuzco-6269/
616,2017-07-12,La Habana,,CUN y 21 ciudades,3372.0,http://www.vuelax.com/2017/07/12/cun-y-21-ciudades-a-la-habana-3372/
617,2017-07-11,Isla de Pascua,,CDMX,11575.0,http://www.vuelax.com/2017/07/11/cdmx-a-isla-de-pascua-11575/
618,2017-07-11,Toronto,,CUN,3528.0,http://www.vuelax.com/2017/07/11/cun-a-toronto-3528/
619,2017-07-11,Toronto,,CDMX,4633.0,http://www.vuelax.com/2017/07/11/cdmx-a-toronto-4633/
620,2017-07-11,San Francisco,,CDMX y GDL,4144.0,http://www.vuelax.com/2017/07/11/cdmx-y-gdl-a-san-francisco-3952/
621,2017-07-11,Costa Rica,,"CUN, GDL, CDMX y 21 ciudades más",3127.0,http://www.vuelax.com/2017/07/11/cun-gdl-cdmx-y-21-ciudades-mas-a-costa-rica-3127/
622,2017-07-11,Medellín,,CDMX,4088.0,http://www.vuelax.com/2017/07/11/cdmx-a-medellin-4088/
623,2017-07-10,NYC,,CDMX,5360.0,http://www.vuelax.com/2017/07/10/cdmx-a-nyc-5360/
624,2017-07-10,"Antofagasta, Chile",,CDMX y 23 ciudades más,11683.0,http://www.vuelax.com/2017/07/10/cdmx-y-23-ciudades-mas-a-antofagasta-chile-11683/
625,2017-07-10,"Punta Arenas, Chile",,CDMX y 23 ciudades más,11683.0,http://www.vuelax.com/2017/07/10/cdmx-y-23-ciudades-mas-a-punta-arenas-chile-11683/
626,2017-07-10,Iguazu,,CDMX y 23 ciudades más,11686.0,http://www.vuelax.com/2017/07/10/cdmx-y-23-ciudades-mas-a-iguazu-11686/
627,2017-07-10,"El Calafate, Argentina",,CDMX y 23 ciudades más,11164.0,http://www.vuelax.com/2017/07/10/cdmx-y-23-ciudades-mas-a-el-calafate-argentina-11164/
628,2017-07-10,"Iquitos, Perú",,CDMX y 23 ciudades más,6852.0,http://www.vuelax.com/2017/07/10/cdmx-y-23-ciudades-mas-a-iquitos-peru-6852/
629,2017-07-10,"Houston, Texas",,CDMX y 23 ciudades más,3718.0,http://www.vuelax.com/2017/07/10/cdmx-y-23-ciudades-mas-a-houston-texas-3718/
630,2017-07-08,Montevideo,,CDMX,10399.0,http://www.vuelax.com/2017/07/08/cdmx-a-montevideo-10399/
631,2017-07-08,Bergen,,NYC,4585.0,http://www.vuelax.com/2017/07/08/nyc-a-bergen-4585/
632,2017-07-08,Nagoya,,San Diego,7887.0,http://www.vuelax.com/2017/07/08/san-diego-a-nagoya-7997/
633,2017-07-07,Punta Cana,,CUN,6259.0,http://www.vuelax.com/2017/07/07/cun-a-punta-cana-6259/
634,2017-07-07,Alaska,,GDL,9227.0,http://www.vuelax.com/2017/07/07/gdl-a-alaska-9395/
635,2017-07-07,Cali,,CDMX,4196.0,http://www.vuelax.com/2017/07/07/cdmx-a-cali-4196/
636,2017-07-07,Rio de Janeiro,,CDMX,7876.0,http://www.vuelax.com/2017/07/07/cdmx-y-23-ciudades-mas-a-rio-de-janeiro-7876/
637,2017-07-07,"Sao Paulo, Brasil",,CDMX y 23 ciudades más,10491.0,http://www.vuelax.com/2017/07/07/cdmx-y-23-ciudades-mas-a-sao-paulo-brasil-10491/
638,2017-07-07,"Santiago, Chile",,CDMX,9265.0,http://www.vuelax.com/2017/07/07/cdmx-a-santiago-chile-9265/
639,2017-07-07,"La Paz, Boliva",,CDMX y 23 ciudades más,6391.0,http://www.vuelax.com/2017/07/07/cdmx-y-23-ciudades-mas-a-la-paz-boliva-6391/
640,2017-07-07,"Lima, Perú",,CDMX y 23 ciudades más,6368.0,http://www.vuelax.com/2017/07/07/cdmx-y-23-ciudades-mas-a-lima-peru-6368/
641,2017-07-06,Buenos Aires,,CDMX y 23 ciudades más,12559.0,http://www.vuelax.com/2017/07/06/cdmx-y-23-ciudades-mas-a-buenos-aires-11613-opcion-de-hostal-desde-223-pesos-la-noche-con-desayuno-incluido/
642,2017-07-06,Santo Domingo,,CDMX,7257.0,http://www.vuelax.com/2017/07/06/cdmx-a-santo-domingo-7257/
643,2017-07-06,"Glasgow, Escocia",,CDMX y 23 ciudades más,13099.0,http://www.vuelax.com/2017/07/06/cdmx-y-23-ciudades-mas-a-glasgow-escocia-13099/
644,2017-07-05,Montreal,,CUN,3982.0,http://www.vuelax.com/2017/07/05/cun-a-montreal-3982/
645,2017-07-05,Chicago,,CDMX y 23 ciudades más,4480.0,http://www.vuelax.com/2017/07/05/cdmx-y-23-ciudades-mas-a-chicago-4234/
646,2017-07-05,La Habana,,CUN,3556.0,http://www.vuelax.com/2017/07/05/cun-a-la-habana-3409/
647,2017-07-05,Reikiavik,,CDMX y 23 ciudades más a Montreal y Montreal,13401.0,http://www.vuelax.com/2017/07/05/cdmx-y-23-ciudades-mas-a-montreal-y-montreal-a-reikiavik-11859/
648,2017-07-05,Montreal,,CDMX y 23 ciudades más,6370.0,http://www.vuelax.com/2017/07/05/cdmx-y-23-ciudades-mas-a-montreal-6370-opcion-de-hostal-desde-376-pesos-por-noche-con-desayuno-incluido/
649,2017-07-04,"La Habana, Cuba",,CDMX y 23 ciudades más,4559.0,http://www.vuelax.com/2017/07/04/cdmx-y-23-ciudades-mas-a-la-habana-cuba-4495-opcion-de-hostal-desde-190-pesos/
650,2017-07-04,Estocolmo,,CDMX y 23 ciudades más a Madrid y Madrid,12684.0,http://www.vuelax.com/2017/07/04/cdmx-y-23-ciudades-mas-a-madrid-y-madrid-a-estocolmo-12684/
651,2017-07-03,Costa Rica,,CDMX,3227.0,http://www.vuelax.com/2017/07/03/cdmx-a-costa-rica-3227/
652,2017-07-03,Medellín,,CDMX,4050.0,http://www.vuelax.com/2017/07/03/cdmx-a-medellin-4067/
653,2017-07-03,Atenas,,CDMX y 23 ciudades más a Madrid y Madrid,13206.0,http://www.vuelax.com/2017/07/03/cdmx-y-23-ciudades-mas-a-madrid-y-madrid-a-atenas-13206/
654,2017-07-03,Estambul,,CDMX y 23 ciudades más a Londres y Londres,14460.0,http://www.vuelax.com/2017/07/03/cdmx-y-23-ciudades-mas-a-londres-y-londres-a-estambul-13954/
655,2017-07-02,Bogotá,,CDMX,4310.0,http://www.vuelax.com/2017/07/02/cdmx-a-bogota-4310/
656,2017-07-02,Múnich,,CUN,11300.0,http://www.vuelax.com/2017/07/02/oktoberfest-cun-a-munich-11300/
657,2017-07-01,Atenas,,CDMX y 23 ciudades más a Roma y Roma,13648.0,http://www.vuelax.com/2017/07/01/cdmx-y-23-ciudades-mas-a-roma-y-roma-a-atenas-13117/
658,2017-07-01,París,,CDMX y 23 ciudades,13115.0,http://www.vuelax.com/2017/07/01/cdmx-y-23-ciudades-a-paris-12889/
659,2017-07-01,Finlandia,,CDMX,10953.0,http://www.vuelax.com/2017/07/01/cdmx-a-finlandia-10953/
