,IATA,ICAO,Airport name,Location served,Time,DST
4924,MRV,URMM,Mineralnye Vody Airport,"Mineralnye Vody, Stavropol Krai, Russia",UTC+03:00,
4925,MRW,EKMB,Lolland Falster Airport,"Maribo, Denmark",UTC+01:00,Mar-Oct
4926,MRX,OIAM,Mahshahr Airport,"Bandar-e Mahshahr, Iran",UTC+03:30,Mar-Sep
4927,MRY,KMRY,Monterey Regional Airport,"Monterey, California, United States",UTC−08:00,Mar-Nov
4928,MRZ,YMOR,Moree Airport,"Moree, New South Wales, Australia",UTC+10:00,Oct-Apr
4929,MSA,CZMD,Muskrat Dam Airport,"Muskrat Dam, Ontario, Canada",UTC−06:00,Mar-Nov
4930,MSC,KFFZ,Falcon Field Airport (FAA: FFZ),"Phoenix, Arizona, United States",UTC−07:00,
4931,MSD,,Mount Pleasant Airport (FAA: 43U),"Mount Pleasant, Utah, United States",UTC−07:00,Mar-Nov
4932,MSE,EGMH,Manston Airport (Kent International Airport),"Manston, England, United Kingdom",UTC±00:00,Mar-Oct
4933,MSF,YMNS,Mount Swan Airport,"Mount Swan, Northern Territory, Australia",UTC+09:30,
4934,MSG,FXMA,Matsaile Airport[1],"Matsaile, Lesotho",UTC+02:00,
4935,MSH,OOMA,Masirah Air Base,"Masirah Island, Oman",UTC+04:00,
4936,MSI,,Masalembo Airport[1],"Masalembo, Indonesia",UTC+07:00,
4937,MSJ,RJSM,Misawa Air Base,"Misawa, Honshu, Japan",UTC+09:00,
4938,MSL,KMSL,Northwest Alabama Regional Airport,"Muscle Shoals / Florence, Alabama, United States",UTC−06:00,Mar-Nov
4939,MSM,FZCV,Masi-Manimba Airport,"Masi-Manimba, Democratic Republic of the Congo",UTC+01:00,
4940,MSN,KMSN,Dane County Regional Airport (Truax Field),"Madison, Wisconsin, United States",UTC−06:00,Mar-Nov
4941,MSO,KMSO,Missoula International Airport,"Missoula, Montana, United States",UTC−07:00,Mar-Nov
4942,MSP,KMSP,Minneapolis–Saint Paul International Airport (Wold–Chamberlain Field),"Minneapolis / St Paul, Minnesota, United States",UTC−06:00,Mar-Nov
4943,MSQ,UMMS,Minsk National Airport,"Minsk, Belarus",UTC+03:00,
4944,MSR,LTCK,Muş Airport,"Muş, Turkey",UTC+03:00,
4945,MSS,KMSS,Massena International Airport (Richards Field),"Massena, New York, United States",UTC−05:00,Mar-Nov
4946,MST,EHBK,Maastricht Aachen Airport,"Maastricht, Netherlands",UTC+01:00,Mar-Oct
4947,MSU,FXMM,Moshoeshoe I International Airport,"Maseru, Lesotho",UTC+02:00,
4948,MSV,KMSV,Sullivan County International Airport,"Monticello, New York, United States",UTC−05:00,Mar-Nov
4949,MSW,HHMS,Massawa International Airport,"Massawa, Eritrea",UTC+03:00,
4950,MSX,FCMM,Mossendjo Airport,"Mossendjo, Republic of the Congo",UTC+01:00,
4951,MSY,KMSY,Louis Armstrong New Orleans International Airport,"New Orleans, Louisiana, United States",UTC−06:00,Mar-Nov
4952,MSZ,FNMO,Namibe Airport (Yuri Gagarin Airport),"Namibe, Angola",UTC+01:00,
4953,MTA,NZMA,Matamata Airport,"Matamata, New Zealand",UTC+12:00,Sep-Apr
4954,MTB,SKML,Montelíbano Airport,"Montelíbano, Colombia",UTC−05:00,
4955,MTC,KMTC,Selfridge Air National Guard Base,"Mount Clemens, Michigan, United States",UTC−05:00,Mar-Nov
4956,MTD,YMSF,Mount Sandford Station Airport[1],"Mount Sandford Station, Northern Territory, Australia",UTC+09:30,
4957,MTE,SNMA,Monte Alegre Airport,"Monte Alegre, Pará, Brazil",UTC−03:00,
4958,MTF,HAMT,Mizan Teferi Airport,"Mizan Teferi, Ethiopia",UTC+03:00,
4959,MTG,,Mato Grosso Airport,"Mato Grosso, Brazil",UTC−04:00,Oct-Feb
4960,MTH,KMTH,Florida Keys Marathon Airport,"Marathon, Florida, United States",UTC−05:00,Mar-Nov
4961,MTI,GVMT,Mosteiros Airport,"Mosteiros, Cape Verde",UTC−01:00,
4962,MTJ,KMTJ,Montrose Regional Airport,"Montrose, Colorado, United States",UTC−07:00,Mar-Nov
4963,MTK,NGMN,Makin Airport,"Makin Island (Butaritari), Kiribati",UTC+12:00,
4964,MTL,YMND,Maitland Airport,"Maitland, New South Wales, Australia",UTC+10:00,Oct-Apr
4965,MTM,PAMM,Metlakatla Seaplane Base,"Metlakatla, Alaska, United States",UTC−09:00,Mar-Nov
4966,MTN,KMTN,Martin State Airport,"Baltimore, Maryland, United States",UTC−05:00,Mar-Nov
4967,MTO,KMTO,Coles County Memorial Airport,"Mattoon / Charleston, Illinois, United States",UTC−06:00,Mar-Nov
4968,MTP,KMTP,Montauk Airport,"Montauk, New York, United States",UTC−05:00,Mar-Nov
4969,MTQ,YMIT,Mitchell Airport,"Mitchell, Queensland, Australia",UTC+10:00,
4970,MTR,SKMR,Los Garzones Airport,"Montería, Colombia",UTC−05:00,
4971,MTS,FDMS,Matsapha Airport,"Manzini, Swaziland",UTC+02:00,
4972,MTT,MMMT,Minatitlán/Coatzacoalcos International Airport,"Minatitlán, Veracruz, Mexico",UTC−06:00,Apr-Oct
4973,MTU,,Montepuez Airport,"Montepuez, Mozambique",UTC+02:00,
4974,MTV,NVSA,Mota Lava Airport,"Mota Lava, Vanuatu",UTC+11:00,
4975,MTW,KMTW,Manitowoc County Airport,"Manitowoc, Wisconsin, United States",UTC−06:00,Mar-Nov
4976,MTX,PABK,Metro Field (FAA: MTF),"Fairbanks, Alaska, United States",UTC−09:00,Mar-Nov
4977,MTY,MMMY,General Mariano Escobedo International Airport,"Monterrey, Nuevo León, Mexico",UTC−06:00,Apr-Oct
4978,MTZ,LLMZ,Bar Yehuda Airfield (Masada Airfield),"Masada, Israel",UTC+02:00,Mar-Oct
4979,MUA,AGGM,Munda Airport,"Munda, New Georgia, Solomon Islands",UTC+11:00,
4980,MUB,FBMN,Maun Airport,"Maun, Botswana",UTC+02:00,
4981,MUC,EDDM,Munich Airport,"Munich, Bavaria, Germany",UTC+01:00,Mar-Oct
4982,MUD,FQMD,Mueda Airport,"Mueda, Mozambique",UTC+02:00,
4983,MUE,PHMU,Waimea-Kohala Airport,"Kamuela, Hawaii, United States",UTC−10:00,
4984,MUF,,Muting Airport,"Muting, Indonesia",UTC+09:00,
4985,MUG,MMMG,Mulegé Airstrip,"Mulegé, Baja California Sur, Mexico",UTC−07:00,Apr-Oct
4986,MUH,HEMM,Marsa Matruh International Airport,"Mersa Matruh, Egypt",UTC+02:00,
4987,MUI,KMUI,Muir Army Airfield,"Fort Indiantown Gap, Pennsylvania, United States",UTC−05:00,Mar-Nov
4988,MUJ,HAMR,Mui Airport,"Mui, Ethiopia",UTC+03:00,
4989,MUK,NCMK,Mauke Airport,"Mauke Island, Cook Islands",UTC−10:00,
4990,MUL,KMUL,Spence Airport,"Moultrie, Georgia, United States",UTC−05:00,Mar-Nov
4991,MUN,SVMT,José Tadeo Monagas International Airport,"Maturín, Venezuela",UTC−04:00,
4992,MUO,KMUO,Mountain Home Air Force Base,"Mountain Home, Idaho, United States",UTC−07:00,Mar-Nov
4993,MUP,YMUP,Mulga Park Airport,"Mulga Park, Northern Territory, Australia",UTC+09:30,
4994,MUQ,YMUC,Muccan Station Airport,"Muccan Station, Western Australia, Australia",UTC+08:00,
4995,MUR,WBGM,Marudi Airport,"Marudi, Sarawak, Malaysia",UTC+08:00,
4996,MUS,RJAM,Minami Torishima Airport,"Minami-Tori-shima, Japan",UTC+09:00,
4997,MUT,KMUT,Muscatine Municipal Airport,"Muscatine, Iowa, United States",UTC−06:00,Mar-Nov
4998,MUW,DAOV,Ghriss Airport,"Ghriss, Algeria",UTC+01:00,
4999,MUX,OPMT,Multan International Airport,"Multan, Pakistan",UTC+05:00,
5000,MUY,FCBM,Mouyondzi Airport,"Mouyondzi, Republic of the Congo",UTC+01:00,
5001,MUZ,HTMU,Musoma Airport,"Musoma, Tanzania",UTC+03:00,
5002,MVA,BIRL,Mývatn Airport,"Mývatn, Iceland",UTC±00:00,
5003,MVB,FOON,M'Vengue El Hadj Omar Bongo Ondimba International Airport,"Franceville, Gabon",UTC+01:00,
5004,MVC,KMVC,Monroe County Airport,"Monroeville, Alabama, United States",UTC−06:00,Mar-Nov
5005,MVD,SUMU,Carrasco Gral. Cesáreo L. Berisso International Airport,"Montevideo, Uruguay",UTC−03:00,
5006,MVE,KMVE,Montevideo–Chippewa County Airport,"Montevideo, Minnesota, United States",UTC−06:00,Mar-Nov
5007,MVF,SBMS,Gov. Dix-Sept Rosado Airport,"Mossoró, Rio Grande do Norte, Brazil",UTC−03:00,
5008,MVG,,Mevang Airport,"Mevang, Gabon",UTC+01:00,
5009,MVH,,Macksville Airport[1],"Macksville, New South Wales, Australia",UTC+10:00,Oct-Apr
5010,MVI,,Manetai Airport[1],"Manetai, Papua New Guinea",UTC+11:00,
5011,MVK,YMUK,Mulka Airport,"Mulka, South Australia, Australia",UTC+09:30,Oct-Apr
5012,MVL,KMVL,Morrisville–Stowe State Airport,"Morrisville / Stowe, Vermont, United States",UTC−05:00,Mar-Nov
5013,MVM,,Kayenta Airport (FAA: 0V7),"Kayenta, Arizona, United States",UTC−07:00,Mar-Nov
5014,MVN,KMVN,Mount Vernon Airport,"Mount Vernon, Illinois, United States",UTC−06:00,Mar-Nov
5015,MVO,FTTM,Mongo Airport,"Mongo, Chad",UTC+01:00,
5016,MVP,SKMU,Fabio Alberto León Bentley Airport,"Mitú, Colombia",UTC−05:00,
5017,MVQ,UMOO,Mogilev Airport,"Mogilev, Belarus",UTC+03:00,
5018,MVR,FKKL,Salak Airport,"Maroua, Cameroon",UTC+01:00,
5019,MVS,SNMU,Mucuri Airport,"Mucuri, Bahia, Brazil",UTC−03:00,
5020,MVT,NTGV,Mataiva Airport,"Mataiva, Tuamotus, French Polynesia",UTC−10:00,
5021,MVU,YMGV,Musgrave Airport,"Musgrave, Queensland, Australia",UTC+08:00,
5022,MVV,LFHM,Megève Altiport,"Megève, Rhône-Alpes, France",UTC+01:00,Mar-Oct
5023,MVW,KBVS,Skagit Regional Airport (FAA: BVS),"Burlington / Mount Vernon, Washington, United States",UTC−08:00,Mar-Nov
5024,MVX,FOGV,Minvoul Airport,"Minvoul, Gabon",UTC+01:00,
5025,MVY,KMVY,Martha's Vineyard Airport,"Vineyard Haven, Massachusetts, United States",UTC−05:00,Mar-Nov
5026,MVZ,FVMV,Masvingo Airport,"Masvingo, Zimbabwe",UTC+02:00,
5027,MWA,KMWA,Williamson County Regional Airport,"Marion, Illinois, United States",UTC−06:00,Mar-Nov
5028,MWB,YMRW,Morawa Airport,"Morawa, Western Australia, Australia",UTC+08:00,
5029,MWC,KMWC,Lawrence J. Timmerman Airport,"Milwaukee, Wisconsin, United States",UTC−06:00,Mar-Nov
5030,MWD,OPMI,PAF Base M.M. Alam,"Mianwali, Pakistan",UTC+05:00,
5031,MWE,HSMR,Merowe Airport,"Merowe, Sudan",UTC+03:00,
5032,MWF,NVSN,Maewo-Naone Airport,"Maewo, Vanuatu",UTC+11:00,
5033,MWG,,Marawaka Airport,"Marawaka, Papua New Guinea",UTC+10:00,
5034,MWH,KMWH,Grant County International Airport,"Moses Lake, Washington, United States",UTC−08:00,Mar-Nov
5035,MWI,,Maramuni Airport[1],"Maramuni, Papua New Guinea",UTC+10:00,
5036,MWJ,SYMR,Matthews Ridge Airport,"Matthew's Ridge, Guyana",UTC−04:00,
5037,MWK,WIOM,Matak Airport (Tarempa Airport),"Matak, Indonesia",UTC+07:00,
5038,MWL,KMWL,Mineral Wells Airport,"Mineral Wells, Texas, United States",UTC−06:00,Mar-Nov
5039,MWM,KMWM,Windom Municipal Airport,"Windom, Minnesota, United States",UTC−06:00,Mar-Nov
5040,MWN,HTMD,Mwadui Airport[1],"Mwadui, Tanzania",UTC+03:00,
5041,MWO,KMWO,Middletown Regional Airport (Hook Field),"Middletown, Ohio, United States",UTC−05:00,Mar-Nov
5042,MWQ,VYMW,Magway Airport,"Magway, Myanmar",UTC+06:30,
5043,MWR,,Motswari Airstrip[1],"Motswari, South Africa",UTC+02:00,
5044,MWT,YMWT,Moolawatana Airport,"Moolawatana Station, South Australia, Australia",UTC+09:30,Oct-Apr
5045,MWU,,Mussau Island Airport,"Mussau Island, Papua New Guinea",UTC+10:00,
5046,MWV,VDMK,Mondulkiri Airport[1],"Senmonorom, Cambodia",UTC+07:00,
5047,MWX,RKJB,Muan International Airport[1],"Muan, South Korea",UTC+09:00,
5048,MWY,YMIR,Miranda Downs Airport,"Miranda Downs, Queensland, Australia",UTC+10:00,
5049,MWZ,HTMW,Mwanza Airport,"Mwanza, Tanzania",UTC+03:00,
5050,MXA,KMXA,Manila Municipal Airport,"Manila, Arkansas, United States",UTC−06:00,Mar-Nov
5051,MXB,WAWM,Andi Jemma Airport,"Masamba, Indonesia",UTC+08:00,
5052,MXC,,Monticello Airport (FAA: U43),"Monticello, Utah, United States",UTC−07:00,Mar-Nov
5053,MXD,YMWX,Marion Downs Airport,"Marion Downs Station, Queensland, Australia",UTC+10:00,
5054,MXE,KMEB,Laurinburg–Maxton Airport (FAA: MEB),"Laurinburg / Maxton, North Carolina, United States",UTC−05:00,Mar-Nov
5055,MXF,KMXF,Maxwell Air Force Base,"Montgomery, Alabama, United States",UTC−06:00,Mar-Nov
5056,MXG,,Marlboro Airport[1] (FAA: 9B1),"Marlborough, Massachusetts, United States",UTC−05:00,Mar-Nov
5057,MXH,AYMR,Moro Airport,"Moro, Papua New Guinea",UTC+10:00,
5058,MXI,RPMQ,Mati Airport (Imelda R. Marcos Airport),"Mati, Philippines",UTC+08:00,
5059,MXJ,DNMN,Minna Airport,"Minna, Nigeria",UTC+01:00,
5060,MXK,,Mindik Airport,"Mindik, Papua New Guinea",UTC+10:00,
5061,MXL,MMML,General Rodolfo Sánchez Taboada International Airport,"Mexicali, Baja California, Mexico",UTC−08:00,Mar-Nov
5062,MXM,FMSR,Morombe Airport,"Morombe, Madagascar",UTC+03:00,
5063,MXN,LFRU,Morlaix – Ploujean Airport,"Morlaix, Brittany, France",UTC+01:00,Mar-Oct
5064,MXO,KMXO,Monticello Regional Airport,"Monticello, Iowa, United States",UTC−06:00,Mar-Nov
5065,MXP,LIMC,Milan–Malpensa Airport,"Milan, Lombardy, Italy",UTC+01:00,Mar-Oct
5066,MXR,,Myrhorod Air Base,"Myrhorod, Ukraine",UTC+02:00,Mar-Oct
5067,MXS,NSMA,Maota Airport,"Maota, Samoa",UTC+13:00,Sep-Apr
5068,MXT,FMMO,Maintirano Airport,"Maintirano, Madagascar",UTC+03:00,
5069,MXU,YMWA,Mullewa Airport,"Mullewa, Western Australia, Australia",UTC+08:00,
5070,MXV,ZMMN,Mörön Airport,"Mörön, Mongolia",UTC+08:00,
5071,MXW,ZMMG,Mandalgovi Airport,"Mandalgovi, Mongolia",UTC+08:00,
5072,MXX,ESKM,Mora–Siljan Airport,"Mora, Sweden",UTC+01:00,Mar-Oct
5073,MXY,PAMX,McCarthy Airport (FAA: 15Z),"McCarthy, Alaska, United States",UTC−09:00,Mar-Nov
5074,MXZ,ZGMX,Meixian Airport,"Meizhou, Guangdong, China",UTC+08:00,
5075,MYA,YMRY,Moruya Airport,"Moruya, New South Wales, Australia",UTC+10:00,Oct-Apr
5076,MYB,FOOY,Mayumba Airport,"Mayumba, Gabon",UTC+01:00,
5077,MYC,SVBS,Mariscal Sucre Airport[1],"Maracay, Venezuela",UTC−04:00,
5078,MYD,HKML,Malindi Airport,"Malindi, Kenya",UTC+03:00,
5079,MYE,RJTQ,Miyakejima Airport,"Miyake-jima, Japan",UTC+09:00,
5080,MYF,KMYF,Montgomery Field Airport,"San Diego, California, United States",UTC−08:00,Mar-Nov
5081,MYG,MYMM,Mayaguana Airport (Abraham's Bay Airport),"Mayaguana, Bahamas",UTC−05:00,Mar-Nov
5082,MYH,,Marble Canyon Airport[1] (FAA: L41),"Marble Canyon, Arizona, United States",UTC−07:00,
5083,MYI,YMUI,Murray Island Airport,"Murray Island, Queensland, Australia",UTC+10:00,
5084,MYJ,RJOM,Matsuyama Airport,"Matsuyama, Shikoku, Japan",UTC+09:00,
5085,MYK,,May Creek Airport,"May Creek, Alaska, United States",UTC−09:00,Mar-Nov
5086,MYL,KMYL,McCall Municipal Airport,"McCall, Idaho, United States",UTC−07:00,Mar-Nov
5087,MYM,SYMM,Monkey Mountain Airport,"Monkey Mountain, Guyana",UTC−04:00,
5088,MYN,OYMB,Marib Airport,"Ma'rib, Yemen",UTC+03:00,
5089,MYO,YMYR,Myroodah Airport,"Myroodah Station, Western Australia, Australia",UTC+08:00,
5090,MYP,UTAM,Mary International Airport,"Mary, Turkmenistan",UTC+05:00,
5091,MYQ,VOMY,Mysore Airport (Mandakalli Airport),"Mysore, Karnataka, India",UTC+05:30,
5092,MYR,KMYR,Myrtle Beach International Airport,"Myrtle Beach, South Carolina, United States",UTC−05:00,Mar-Nov
5093,MYT,VYMK,Myitkyina Airport,"Myitkyina, Myanmar",UTC+06:30,
5094,MYU,PAMY,Mekoryuk Airport,"Mekoryuk, Alaska, United States",UTC−09:00,Mar-Nov
5095,MYV,KMYV,Yuba County Airport,"Marysville, California, United States",UTC−08:00,Mar-Nov
5096,MYW,HTMT,Mtwara Airport,"Mtwara, Tanzania",UTC+03:00,
5097,MYX,,Menyamya Airport,"Menyamya, Papua New Guinea",UTC+10:00,
5098,MYY,WBGR,Miri Airport,"Miri, Sarawak, Malaysia",UTC+08:00,
5099,MYZ,FWMY,Monkey Bay Airport,"Monkey Bay, Malawi",UTC+02:00,
5100,MZA,SPMF,Manuel Prado Ugarteche Airport[1],"Mazamari, Peru",UTC−05:00,
5101,MZB,FQMP,Mocímboa da Praia Airport,"Mocímboa da Praia, Mozambique",UTC+02:00,
5102,MZC,FOOM,Mitzic Airport,"Mitzic, Gabon",UTC+01:00,
5103,MZD,,Méndez Airport,"Santiago de Méndez, Ecuador",UTC−05:00,
5104,MZE,,Manatee Airport[1],"Manatee, Belize",UTC−06:00,
5105,MZF,FAMW,Wild Coast Sun Airport,"Mzamba, South Africa",UTC+02:00,
5106,MZG,RCQC,Magong Airport,"Magong, Taiwan",UTC+08:00,
5107,MZH,LTAP,Amasya Merzifon Airport,"Amasya, Turkey",UTC+03:00,
5108,MZI,GAMB,Mopti Airport (Ambodedjo Airport),"Mopti, Mali",UTC±00:00,
5109,MZJ,KMZJ,Pinal Airpark,"Marana, Arizona, United States",UTC−07:00,
5110,MZK,NGMK,Marakei Airport,"Marakei, Kiribati",UTC+12:00,
5111,MZL,SKMZ,La Nubia Airport (Santaguida Airport),"Manizales, Colombia",UTC−05:00,
5112,MZM,LFSF,Metz-Frescaty Air Base,"Metz, Lorraine, France",UTC+01:00,Mar-Oct
5113,MZN,,Minj Airport,"Minj, Papua New Guinea",UTC+10:00,
5114,MZO,MUMZ,Sierra Maestra Airport,"Manzanillo, Cuba",UTC−05:00,Mar-Nov
5115,MZP,NZMK,Motueka Aerodrome,"Motueka, New Zealand",UTC+12:00,Sep-Apr
5116,MZQ,FAMU,Mkuze Airport[1],"Mkuze, South Africa",UTC+02:00,
5117,MZR,OAMS,Mazar-e Sharif International Airport,"Mazar-i-Sharif, Afghanistan",UTC+04:30,
5118,MZT,MMMZ,General Rafael Buelna International Airport,"Mazatlán, Sinaloa, Mexico",UTC−07:00,Apr-Oct
5119,MZU,VEMZ,Muzaffarpur Airport,"Muzaffarpur, Bihar, India",UTC+05:30,
5120,MZV,WBMU,Mulu Airport,"Mulu, Sarawak, Malaysia",UTC+08:00,
5121,MZW,DAAY,Mécheria Airport,"Mécheria, Algeria",UTC+01:00,
5122,MZX,HAML,Mena Airport,"Mena, Ethiopia",UTC+03:00,
5123,MZY,FAMO,Mossel Bay Airport,"Mossel Bay, South Africa",UTC+02:00,
5124,MZZ,KMZZ,Marion Municipal Airport,"Marion, Indiana, United States",UTC−05:00,Mar-Nov
5125,NAA,YNBR,Narrabri Airport[1],"Narrabri, New South Wales, Australia",-,-
5126,NAC,YNRC,Naracoorte Airport[1],"Naracoorte, South Australia, Australia",-,-
5127,NAD,,Macanal Airport[1],"Macanal, Colombia",-,-
5128,NAE,DBBN,Boundétingou Airport,"Natitingou, Benin",-,-
5129,NAF,,Banaina Airport[1],"Banaina, Indonesia",-,-
5130,NAG,VANP,Dr. Babasaheb Ambedkar International Airport,"Nagpur, Maharashtra, India",-,-
5131,NAH,WAMH,Naha Airport,"Tahuna, Indonesia",-,-
5132,NAI,SYAN,Annai Airport,"Annai, Guyana",-,-
5133,NAJ,UBBN,Nakhchivan International Airport,"Nakhchivan, Azerbaijan",-,-
5134,NAK,VTUQ,Nakhon Ratchasima Airport,"Nakhon Ratchasima, Thailand",-,-
5135,NAL,URMN,Nalchik Airport,"Nalchik, Kabardino-Balkaria, Russia",-,-
5136,NAM,WAPR,Namlea Airport[1],"Namlea, Indonesia",-,-
5137,NAN,NFFN,Nadi International Airport,"Nadi, Fiji",-,-
5138,NAO,ZUNC,Nanchong Gaoping Airport,"Nanchong, Sichuan, China",-,-
5139,NAP,LIRN,Naples International Airport,"Naples, Campania, Italy",-,-
5140,NAQ,BGQQ,Qaanaaq Airport[1],"Qaanaaq, Greenland",-,-
5141,NAR,SKPN,Puerto Nare Airport[1],"Puerto Nare, Colombia",-,-
5142,NAS,MYNN,Lynden Pindling International Airport,"Nassau, New Providence, Bahamas",-,-
5143,NAT,SBNT,São Gonçalo do Amarante–Governador Aluízio Alves International Airport,"Natal, Rio Grande do Norte, Brazil",-,-
5144,NAU,NTGN,Napuka Airport[1],"Napuka, Tuamotus, French Polynesia",-,-
5145,NAV,LTAZ,Nevşehir Kapadokya Airport,"Nevşehir, Turkey",-,-
5146,NAW,VTSC,Narathiwat Airport[1],"Narathiwat, Thailand",-,-
5147,NAY,ZBNY,Beijing Nanyuan Airport,"Beijing, China",-,-
5148,NAZ,AGNA,Nana Airport[1],"Star Harbour, Solomon Islands",-,-
5149,NBA,,Nambaiyufa Airport[1],"Nambaiyufa, Papua New Guinea",-,-
5150,NBB,SKBM,Barranco Minas Airport[1],"Barranco Minas, Colombia",-,-
5151,NBC,UWKE,Begishevo Airport,"Nizhnekamsk / Naberezhnye Chelny, Tatarstan, Russia",-,-
5152,NBE,DTNH,Enfidha-Hammamet International Airport,"Enfidha, Tunisia",-,-
5153,NBG,KNBG,NAS JRB New Orleans (Alvin Callender Field),"New Orleans, Louisiana, United States",-,-
5154,NBH,YNHS,Nambucca Heads Airport[1],"Nambucca Heads, New South Wales, Australia",-,-
5155,NBL,MPWN,Wannukandi Airport[1],"San Blas, Panama",-,-
5156,NBN,FGAB,Annobón Airport,"Annobón, Equatorial Guinea",-,-
5157,NBO,HKJK,Jomo Kenyatta International Airport,"Nairobi, Kenya",-,-
5158,NBS,ZYBS,Changbaishan Airport,"Baishan, Jilin, China",-,-
5159,NBW,KNBW,Guantanamo Bay Naval Base,"Guantánamo Bay, Cuba",-,-
5160,NBX,WABI,Nabire Airport,"Nabire, Indonesia",-,-
5161,NCA,MBNC,North Caicos Airport,"North Caicos, British Overseas Territory
of Turks and Caicos Islands",-,-
5162,NCE,LFMN,Nice Côte d'Azur Airport,"Nice, Provence-Alpes-Côte d'Azur, France",-,-
5163,NCG,MMCG,Nuevo Casas Grandes Municipal Airport,"Nuevo Casas Grandes, Chihuahua, Mexico",-,-
5164,NCH,HTNA,Nachingwea Airport[1],"Nachingwea, Tanzania",-,-
5165,NCI,SKNC,Antioquia Airport[1],"Necoclí, Colombia",-,-
5166,NCJ,SAFS,Sunchales Airport[1],"Sunchales, Santa Fe, Argentina",-,-
5167,NCL,EGNT,Newcastle Airport,"Newcastle upon Tyne, England, United Kingdom",-,-
5168,NCN,PFCB,Chenega Bay Airport (FAA: C05),"Chenega, Alaska, United States",-,-
5169,NCO,KOQU,Quonset State Airport[1] (FAA: OQU),"North Kingstown, Rhode Island, United States",-,-
5170,NCR,MNSC,San Carlos Airport[1],"San Carlos, Nicaragua",-,-
5171,NCS,FANC,Newcastle Airport[1],"Newcastle, South Africa",-,-
5172,NCT,MRNC,Nicoya Guanacaste Airport[1],"Nicoya, Costa Rica",-,-
5173,NCU,UTNN,Nukus Airport,"Nukus, Uzbekistan",-,-
5174,NCY,LFLP,Annecy – Haute-Savoie – Mont Blanc Airport,"Annecy, Rhône-Alpes, France",-,-
5175,NDA,WAPC,Bandanaira Airport[1],"Banda Islands, Indonesia",-,-
5176,NDB,GQPP,Nouadhibou International Airport,"Nouadhibou, Mauritania",-,-
5177,NDC,VAND,Shri Guru Gobind Singh Ji Airport,"Nanded, Maharashtra, India",-,-
5178,NDD,FNSU,Sumbe Airport[1],"Sumbe, Angola",-,-
5179,NDE,HKMA,Mandera Airport[1],"Mandera, Kenya",-,-
5180,NDF,,N'dalatando Airport[1],"N'dalatando, Angola",-,-
5181,NDG,ZYQQ,Qiqihar Sanjiazi Airport[1],"Qiqihar, Heilongjiang, China",-,-
5182,NDI,,Namudi Airport[1],"Namudi, Papua New Guinea",-,-
5183,NDJ,FTTJ,N'Djamena International Airport,"N'Djamena, Chad",-,-
5184,NDK,,Namorik Airport (Namdrik Airport) (FAA: 3N0),"Namdrik Atoll, Marshall Islands",-,-
5185,NDL,FEFN,N'Délé Airport[1],"N'Délé (Ndele), Central African Republic",-,-
5186,NDM,HAMN,Mendi Airport,"Mendi, Ethiopia",-,-
5187,NDN,,Nadunumu Airport[1],"Nadunumu, Papua New Guinea",-,-
5188,NDR,GMMW,Nador International Airport,"Nador, Morocco",-,-
5189,NDS,YSAN,Sandstone Airport[1],"Sandstone, Western Australia, Australia",-,-
5190,NDU,FYRU,Rundu Airport,"Rundu, Namibia",-,-
5191,NDY,EGES,Sanday Airport,"Sanday, Scotland, United Kingdom",-,-
5192,NEA,KNEA,Naval Air Station Glynco[1],"Glynco, Georgia, Georgia, United States",-,-
5193,NEC,SAZO,Necochea Airport,"Necochea, Buenos Aires, Argentina",-,-
5194,NEF,UWUF,Neftekamsk Airport,"Neftekamsk, Bashkortostan, Russia",-,-
5195,NEG,MKNG,Negril Aerodrome,"Negril, Jamaica",-,-
5196,NEJ,HANJ,Nejjo Airport[1],"Nejo, Ethiopia",-,-
5197,NEK,HANK,Nekemte Airport[1],"Nekemte, Ethiopia",-,-
5198,NEL,KNEL,NAES Lakehurst (Maxfield Field),"Lakehurst, New Jersey, United States",-,-
5199,NEN,KNEN,NOLF Whitehouse,"Jacksonville, Florida, United States",-,-
5200,NER,UELL,Chulman Neryungri Airport,"Neryungri, Yakutia, Russia",-,-
5201,NEU,VLSN,Sam Neua Airport[1],"Sam Neua, Laos",-,-
5202,NEV,TKPN,Vance W. Amory International Airport,"Nevis, Saint Kitts and Nevis",-,-
5203,NEW,KNEW,Lakefront Airport,"New Orleans, Louisiana, United States",-,-
5204,NFG,USRN,Nefteyugansk Airport,"Nefteyugansk, Khanty-Mansi Autonomous Okrug, Russia",-,-
5205,NFL,KNFL,NAS Fallon (Van Voorhis Field),"Fallon, Nevada, United States",-,-
5206,NFO,NFTO,Niuafo'ou Airport,"Niuafo'ou, Tonga",-,-
5207,NFR,HLNR,Nafoora Airport,"Nafoora, Libya",-,-
5208,NGA,YYNG,Young Airport[1],"Young, New South Wales, Australia",-,-
5209,NGB,ZSNB,Ningbo Lishe International Airport,"Ningbo, Zhejiang, China",-,-
5210,NGD,TUPA,Auguste George Airport,"Anegada, British Overseas Territory of Virgin Islands",-,-
5211,NGE,FKKN,Ngaoundéré Airport[1],"Ngaoundéré, Cameroon",-,-
5212,NGF,PHNG,MCAS Kaneohe Bay[1],"Kaneohe, Hawaii, United States",-,-
5213,NGI,NFNG,Gau Airport[1],"Gau Island, Fiji",-,-
