,IATA,ICAO,Airport name,Location served,Time,DST
2430,FYT,FTTY,Faya-Largeau Airport,"Faya-Largeau, Chad",UTC+01:00,
2431,FYU,PFYU,Fort Yukon Airport,"Fort Yukon, Alaska, United States",UTC−09:00,Mar-Nov
2432,FYV,KFYV,Drake Field (Fayetteville Executive Airport),"Fayetteville, Arkansas, United States",UTC−06:00,Mar-Nov
2433,FZO,EGTG,Bristol Filton Airport,"Bristol, England, United Kingdom",UTC±00:00,Mar-Oct
2434,GAA,,Guamal Airport,"Guamal, Colombia",UTC−05:00,
2435,GAB,KGAB,Gabbs Airport,"Gabbs, Nevada, United States",UTC−08:00,Mar-Nov
2436,GAC,MHGS[1],Gracias Airport,"Gracias, Honduras",UTC−06:00,
2437,GAD,KGAD,Northeast Alabama Regional Airport,"Gadsden, Alabama, United States",UTC−06:00,Mar-Nov
2438,GAE,DTTG,Gabès – Matmata International Airport,"Gabès, Tunisia",UTC+01:00,
2439,GAF,DTTF,Gafsa – Ksar International Airport,"Gafsa, Tunisia",UTC+01:00,
2440,GAG,KGAG,Gage Airport,"Gage, Oklahoma, United States",UTC−06:00,Mar-Nov
2441,GAH,YGAY,Gayndah Airport,"Gayndah, Queensland, Australia",UTC+10:00,
2442,GAI,KGAI,Montgomery County Airpark,"Gaithersburg, Maryland, United States",UTC−05:00,Mar-Nov
2443,GAJ,RJSC,Yamagata Airport (Junmachi Airport),"Yamagata, Honshu, Japan",UTC+09:00,
2444,GAL,PAGA,Edward G. Pitka Sr. Airport,"Galena, Alaska, United States",UTC−09:00,Mar-Nov
2445,GAM,PAGM,Gambell Airport,"Gambell, Alaska, United States",UTC−09:00,Mar-Nov
2446,GAN,VRMG,Gan International Airport,"Gan Island, Addu Atoll, Maldives",UTC+05:00,
2447,GAO,MUGT,Mariana Grajales Airport,"Guantánamo, Cuba",UTC−05:00,Mar-Nov
2448,GAP,AYGP,Gusap Airport,"Gusap, Papua New Guinea",UTC+10:00,
2449,GAQ,GAGO,Gao International Airport (Korogoussou Airport),"Gao, Mali",UTC±00:00,
2450,GAR,AYGI,Garaina Airport,"Garaina, Papua New Guinea",UTC+10:00,
2451,GAS,HKGA,Garissa Airport,"Garissa, Kenya",UTC+03:00,
2452,GAT,LFNA,Gap–Tallard Airport,"Gap, Provence-Alpes-Côte d'Azur, France",UTC+01:00,Mar-Oct
2453,GAU,VEGT,Lokpriya Gopinath Bordoloi International Airport,"Guwahati, Assam, India",UTC+05:30,
2454,GAV,,Gag Island Airport,"Gag Island, Indonesia",UTC+09:00,
2455,GAW,VYGG,Gangaw Airport,"Gangaw, Myanmar",UTC+06:30,
2456,GAX,,Gamba Airport,"Gamba, Gabon",UTC+01:00,
2457,GAY,VEGY,Gaya Airport (Bodhgaya Airport),"Gaya, Bihar, India",UTC+05:30,
2458,GAZ,,Guasopa Airport,"Guasopa, Papua New Guinea",UTC+10:00,
2459,GBA,EGBP,Cotswold Airport[2],"Kemble, England, United Kingdom",UTC±00:00,Mar-Oct
2460,GBB,UBBQ,Qabala International Airport,"Qabala, Azerbaijan",UTC+04:00,
2461,GBC,AYGS,Gasuke Airport,"Gasuke, Papua New Guinea",UTC+10:00,
2462,GBD,KGBD,Great Bend Municipal Airport,"Great Bend, Kansas, United States",UTC−06:00,Mar-Nov
2463,GBE,FBSK,Sir Seretse Khama International Airport,"Gaborone, Botswana",UTC+02:00,
2464,GBF,AYNE,Negarbo Airport,"Negarbo, Papua New Guinea",UTC+10:00,
2465,GBG,KGBG,Galesburg Municipal Airport,"Galesburg, Illinois, United States",UTC−06:00,Mar-Nov
2466,GBH,PAGB,Galbraith Lake Airport,"Galbraith Lake, Alaska, United States",UTC−09:00,Mar-Nov
2467,GBJ,TFFM,Marie-Galante Airport (Les Bases),"Grand-Bourg, Marie-Galante Island, Guadeloupe",UTC−04:00,
2468,GBK,GFGK,Gbangbatok Airport,"Gbangbatok, Sierra Leone",UTC±00:00,
2469,GBL,YGBI,South Goulburn Island Airport,"Goulburn Islands, Northern Territory, Australia",UTC+09:30,
2470,GBM,,Garbaharey Airport,"Garbaharey, Somalia",UTC+03:00,
2471,GBP,YGAM,Gamboola Airport,"Gamboola, Queensland, Australia",UTC+10:00,
2472,GBR,KGBR,Walter J. Koladza Airport,"Great Barrington, Massachusetts, United States",UTC−05:00,Mar-Nov
2473,GBT,OING,Gorgan Airport[2],"Gorgan, Iran",UTC+03:30,Mar-Sep
2474,GBU,HSKG,Khashm el Girba Airport,"Khashm el Girba, Sudan",UTC+03:00,
2475,GBV,YGIB,Gibb River Airport,"Gibb River, Western Australia, Australia",UTC+08:00,
2476,GBW,YGIA,Ginbata Airport[2],"Ginbata, Western Australia, Australia",UTC+08:00,
2477,GBZ,NZGB,Great Barrier Aerodrome,"Great Barrier Island, New Zealand",UTC+12:00,Sep-Apr
2478,GCA,,Guacamayas Airport,"Guacamayas, Colombia",UTC−05:00,
2479,GCC,KGCC,Gillette–Campbell County Airport,"Gillette, Wyoming, United States",UTC−07:00,Mar-Nov
2480,GCD,,Grand Coulee Dam Airport[2] (FAA: 3W7),"Electric City, Washington, United States",UTC−08:00,Mar-Nov
2481,GCH,OIAH,Gachsaran Airport[2],"Gachsaran, Iran",UTC+03:30,Mar-Sep
2482,GCI,EGJB,Guernsey Airport,"Guernsey, Channel Islands, United Kingdom",UTC±00:00,Mar-Oct
2483,GCJ,FAGC,Grand Central Airport,"Johannesburg, South Africa",UTC+02:00,
2484,GCK,KGCK,Garden City Regional Airport,"Garden City, Kansas, United States",UTC−06:00,Mar-Nov
2485,GCM,MWCR,Owen Roberts International Airport,"Grand Cayman, British Overseas Territory of Cayman Islands",UTC−05:00,
2486,GCN,KGCN,Grand Canyon National Park Airport,"Tusayan, Arizona, United States",UTC−07:00,
2487,GCW,,Grand Canyon West Airport[2] (FAA: 1G4),"Peach Springs, Arizona, United States",UTC−07:00,
2488,GCY,KGCY,Greeneville–Greene County Municipal Airport,"Greeneville, Tennessee, United States",UTC−05:00,Mar-Nov
2489,GDA,,Gounda Airport,"Gounda, Central African Republic",UTC+01:00,
2490,GDC,KGYH,Donaldson Center Airport (FAA: GYH),"Greenville, South Carolina, United States",UTC−05:00,Mar-Nov
2491,GDD,YGDN,Gordon Downs Airport,"Gordon Downs, Western Australia, Australia",UTC+08:00,
2492,GDE,HAGO,Gode Airport,"Gode, Ethiopia",UTC+03:00,
2493,GDG,UHBI,Magdagachi Airport,"Magdagachi, Amur Oblast, Russia",UTC+09:00,
2494,GDH,,Golden Horn Lodge Seaplane Base (FAA: 3Z8),"Golden Horn Lodge, Alaska, United States",UTC−09:00,Mar-Nov
2495,GDI,,Gordil Airport,"Gordil, Central African Republic",UTC+01:00,
2496,GDJ,FZWC,Gandajika Airport,"Gandajika, Democratic Republic of the Congo",UTC+02:00,
2497,GDL,MMGL,Guadalajara International Airport (Miguel Hidalgo y Costilla Int'l),"Guadalajara, Jalisco, Mexico",UTC−06:00,Apr-Oct
2498,GDM,KGDM,Gardner Municipal Airport,"Gardner, Massachusetts, United States",UTC−05:00,Mar-Nov
2499,GDN,EPGD,Gdańsk Lech Wałęsa Airport,"Gdańsk, Poland",UTC+01:00,Mar-Oct
2500,GDO,SVGD,Guasdualito Airport (Vare Maria Airport),"Guasdualito, Venezuela",UTC−04:00,
